kind,noise,n,d,method,trim,n_datasets,size_05,mean_cv05
null_gauss,lognorm,500,2,hsic,0.0,100,0.0,0.011675047112420366
null_gauss,lognorm,500,2,k1,0.05,100,0.06,0.014121911247155955
null_gauss,lognorm,500,2,k2,0.05,100,0.01,0.579763562052714
null_gauss,lognorm,500,3,hsic,0.0,100,0.0,0.011675047112420366
null_gauss,lognorm,500,3,k1,0.05,100,0.06,0.014121911247155955
null_gauss,lognorm,500,3,k2,0.05,100,0.01,0.579763562052714
null_gauss,lognorm,500,5,hsic,0.0,100,0.0,0.011675047112420366
null_gauss,lognorm,500,5,k1,0.05,100,0.06,0.014121911247155955
null_gauss,lognorm,500,5,k2,0.05,100,0.01,0.579763562052714
null_gauss,lognorm,2000,2,hsic,0.0,100,0.0,0.009765129962567504
null_gauss,lognorm,2000,2,k1,0.05,100,0.06,0.01339907327285957
null_gauss,lognorm,2000,2,k2,0.05,100,0.02,0.5095534199049933
null_gauss,lognorm,2000,3,hsic,0.0,100,0.0,0.009765129962567504
null_gauss,lognorm,2000,3,k1,0.05,100,0.06,0.01339907327285957
null_gauss,lognorm,2000,3,k2,0.05,100,0.02,0.5095534199049933
null_gauss,lognorm,2000,5,hsic,0.0,100,0.0,0.009765129962567504
null_gauss,lognorm,2000,5,k1,0.05,100,0.06,0.01339907327285957
null_gauss,lognorm,2000,5,k2,0.05,100,0.02,0.5095534199049933
null_gauss,lognorm,8000,2,hsic,0.0,100,0.0,0.00992537703280983
null_gauss,lognorm,8000,2,k1,0.05,100,0.07,0.06908027865049617
null_gauss,lognorm,8000,2,k2,0.05,100,0.01,0.38941471968271507
null_gauss,lognorm,8000,3,hsic,0.0,100,0.0,0.00992537703280983
null_gauss,lognorm,8000,3,k1,0.05,100,0.07,0.06908027865049617
null_gauss,lognorm,8000,3,k2,0.05,100,0.01,0.38941471968271507
null_gauss,lognorm,8000,5,hsic,0.0,100,0.0,0.00992537703280983
null_gauss,lognorm,8000,5,k1,0.05,100,0.07,0.06908027865049617
null_gauss,lognorm,8000,5,k2,0.05,100,0.01,0.38941471968271507
null_gauss,t3,500,2,hsic,0.0,100,0.0,0.005798162232622942
null_gauss,t3,500,2,k1,0.05,100,0.0,0.011435045026780982
null_gauss,t3,500,2,k2,0.05,100,0.11,0.28834865798245707
null_gauss,t3,500,3,hsic,0.0,100,0.0,0.005798162232622942
null_gauss,t3,500,3,k1,0.05,100,0.0,0.011435045026780982
null_gauss,t3,500,3,k2,0.05,100,0.11,0.28834865798245707
null_gauss,t3,500,5,hsic,0.0,100,0.0,0.005798162232622942
null_gauss,t3,500,5,k1,0.05,100,0.0,0.011435045026780982
null_gauss,t3,500,5,k2,0.05,100,0.11,0.28834865798245707
null_gauss,t3,2000,2,hsic,0.0,100,0.0,0.004692611689172368
null_gauss,t3,2000,2,k1,0.05,100,0.01,0.007737436524478958
null_gauss,t3,2000,2,k2,0.05,100,0.11,0.22698619929605357
null_gauss,t3,2000,3,hsic,0.0,100,0.0,0.004692611689172368
null_gauss,t3,2000,3,k1,0.05,100,0.01,0.007737436524478958
null_gauss,t3,2000,3,k2,0.05,100,0.11,0.22698619929605357
null_gauss,t3,2000,5,hsic,0.0,100,0.0,0.004692611689172368
null_gauss,t3,2000,5,k1,0.05,100,0.01,0.007737436524478958
null_gauss,t3,2000,5,k2,0.05,100,0.11,0.22698619929605357
null_gauss,t3,8000,2,hsic,0.0,100,0.0,0.004462302825647768
null_gauss,t3,8000,2,k1,0.05,100,0.07,0.04695889036623094
null_gauss,t3,8000,2,k2,0.05,100,0.13,0.1658206640002237
null_gauss,t3,8000,3,hsic,0.0,100,0.0,0.004462302825647768
null_gauss,t3,8000,3,k1,0.05,100,0.07,0.04695889036623094
null_gauss,t3,8000,3,k2,0.05,100,0.13,0.1658206640002237
null_gauss,t3,8000,5,hsic,0.0,100,0.0,0.004462302825647768
null_gauss,t3,8000,5,k1,0.05,100,0.07,0.04695889036623094
null_gauss,t3,8000,5,k2,0.05,100,0.13,0.1658206640002237
null_nonparam,lognorm,500,2,hsic,0.0,100,0.0,0.010642261497170931
null_nonparam,lognorm,500,2,k1,0.05,100,0.19,0.013384027308110757
null_nonparam,lognorm,500,2,k2,0.05,100,0.07,0.541756350704279
null_nonparam,lognorm,500,3,hsic,0.0,100,0.0,0.010642261497170931
null_nonparam,lognorm,500,3,k1,0.05,100,0.19,0.013384027308110757
null_nonparam,lognorm,500,3,k2,0.05,100,0.07,0.541756350704279
null_nonparam,lognorm,500,5,hsic,0.0,100,0.0,0.010642261497170931
null_nonparam,lognorm,500,5,k1,0.05,100,0.19,0.013384027308110757
null_nonparam,lognorm,500,5,k2,0.05,100,0.07,0.541756350704279
null_nonparam,lognorm,2000,2,hsic,0.0,100,0.0,0.008400396955708078
null_nonparam,lognorm,2000,2,k1,0.05,100,0.07,0.012919693161693262
null_nonparam,lognorm,2000,2,k2,0.05,100,0.04,0.5006366236108216
null_nonparam,lognorm,2000,3,hsic,0.0,100,0.0,0.008400396955708078
null_nonparam,lognorm,2000,3,k1,0.05,100,0.07,0.012919693161693262
null_nonparam,lognorm,2000,3,k2,0.05,100,0.04,0.5006366236108216
null_nonparam,lognorm,2000,5,hsic,0.0,100,0.0,0.008400396955708078
null_nonparam,lognorm,2000,5,k1,0.05,100,0.07,0.012919693161693262
null_nonparam,lognorm,2000,5,k2,0.05,100,0.04,0.5006366236108216
null_nonparam,lognorm,8000,2,hsic,0.0,100,0.0,0.008569551417685735
null_nonparam,lognorm,8000,2,k1,0.05,100,0.09,0.06870751567295999
null_nonparam,lognorm,8000,2,k2,0.05,100,0.02,0.3865596232919152
null_nonparam,lognorm,8000,3,hsic,0.0,100,0.0,0.008569551417685735
null_nonparam,lognorm,8000,3,k1,0.05,100,0.09,0.06870751567295999
null_nonparam,lognorm,8000,3,k2,0.05,100,0.02,0.3865596232919152
null_nonparam,lognorm,8000,5,hsic,0.0,100,0.0,0.008569551417685735
null_nonparam,lognorm,8000,5,k1,0.05,100,0.09,0.06870751567295999
null_nonparam,lognorm,8000,5,k2,0.05,100,0.02,0.3865596232919152
null_nonparam,t3,500,2,hsic,0.0,100,0.0,0.0056803967141239135
null_nonparam,t3,500,2,k1,0.05,100,0.0,0.011446031555200985
null_nonparam,t3,500,2,k2,0.05,100,0.1,0.2848081160054482
null_nonparam,t3,500,3,hsic,0.0,100,0.0,0.0056803967141239135
null_nonparam,t3,500,3,k1,0.05,100,0.0,0.011446031555200985
null_nonparam,t3,500,3,k2,0.05,100,0.1,0.2848081160054482
null_nonparam,t3,500,5,hsic,0.0,100,0.0,0.0056803967141239135
null_nonparam,t3,500,5,k1,0.05,100,0.0,0.011446031555200985
null_nonparam,t3,500,5,k2,0.05,100,0.1,0.2848081160054482
null_nonparam,t3,2000,2,hsic,0.0,100,0.0,0.004704351394477992
null_nonparam,t3,2000,2,k1,0.05,100,0.01,0.007767874212923056
null_nonparam,t3,2000,2,k2,0.05,100,0.13,0.22468866929073641
null_nonparam,t3,2000,3,hsic,0.0,100,0.0,0.004704351394477992
null_nonparam,t3,2000,3,k1,0.05,100,0.01,0.007767874212923056
null_nonparam,t3,2000,3,k2,0.05,100,0.13,0.22468866929073641
null_nonparam,t3,2000,5,hsic,0.0,100,0.0,0.004704351394477992
null_nonparam,t3,2000,5,k1,0.05,100,0.01,0.007767874212923056
null_nonparam,t3,2000,5,k2,0.05,100,0.13,0.22468866929073641
null_nonparam,t3,8000,2,hsic,0.0,100,0.0,0.004433330675870224
null_nonparam,t3,8000,2,k1,0.05,100,0.07,0.04673589624381834
null_nonparam,t3,8000,2,k2,0.05,100,0.14,0.16455665017957596
null_nonparam,t3,8000,3,hsic,0.0,100,0.0,0.004433330675870224
null_nonparam,t3,8000,3,k1,0.05,100,0.07,0.04673589624381834
null_nonparam,t3,8000,3,k2,0.05,100,0.14,0.16455665017957596
null_nonparam,t3,8000,5,hsic,0.0,100,0.0,0.004433330675870224
null_nonparam,t3,8000,5,k1,0.05,100,0.07,0.04673589624381834
null_nonparam,t3,8000,5,k2,0.05,100,0.14,0.16455665017957596
