kind,noise,n,d,method,trim,size_05,n_datasets
null_gauss,gauss,2000,2,hsic,0.0,0.0,200
null_gauss,gauss,2000,2,k1,0.0,0.0,200
null_gauss,gauss,2000,2,k1,0.01,0.0,200
null_gauss,gauss,2000,2,k1,0.05,0.0,200
null_gauss,gauss,2000,2,k2,0.0,0.005,200
null_gauss,gauss,2000,2,k2,0.01,0.015,200
null_gauss,gauss,2000,2,k2,0.05,0.03,200
null_gauss,gauss,2000,3,hsic,0.0,0.0,200
null_gauss,gauss,2000,3,k1,0.0,0.0,200
null_gauss,gauss,2000,3,k1,0.01,0.0,200
null_gauss,gauss,2000,3,k1,0.05,0.0,200
null_gauss,gauss,2000,3,k2,0.0,0.005,200
null_gauss,gauss,2000,3,k2,0.01,0.015,200
null_gauss,gauss,2000,3,k2,0.05,0.03,200
null_gauss,gauss,2000,5,hsic,0.0,0.0,200
null_gauss,gauss,2000,5,k1,0.0,0.0,200
null_gauss,gauss,2000,5,k1,0.01,0.0,200
null_gauss,gauss,2000,5,k1,0.05,0.0,200
null_gauss,gauss,2000,5,k2,0.0,0.005,200
null_gauss,gauss,2000,5,k2,0.01,0.015,200
null_gauss,gauss,2000,5,k2,0.05,0.03,200
null_gauss,gauss,8000,2,hsic,0.0,0.0,200
null_gauss,gauss,8000,2,k1,0.0,0.0,200
null_gauss,gauss,8000,2,k1,0.01,0.0,200
null_gauss,gauss,8000,2,k1,0.05,0.0,200
null_gauss,gauss,8000,2,k2,0.0,0.01,200
null_gauss,gauss,8000,2,k2,0.01,0.005,200
null_gauss,gauss,8000,2,k2,0.05,0.015,200
null_gauss,gauss,8000,3,hsic,0.0,0.0,200
null_gauss,gauss,8000,3,k1,0.0,0.0,200
null_gauss,gauss,8000,3,k1,0.01,0.0,200
null_gauss,gauss,8000,3,k1,0.05,0.0,200
null_gauss,gauss,8000,3,k2,0.0,0.01,200
null_gauss,gauss,8000,3,k2,0.01,0.005,200
null_gauss,gauss,8000,3,k2,0.05,0.015,200
null_gauss,gauss,8000,5,hsic,0.0,0.0,200
null_gauss,gauss,8000,5,k1,0.0,0.0,200
null_gauss,gauss,8000,5,k1,0.01,0.0,200
null_gauss,gauss,8000,5,k1,0.05,0.0,200
null_gauss,gauss,8000,5,k2,0.0,0.01,200
null_gauss,gauss,8000,5,k2,0.01,0.005,200
null_gauss,gauss,8000,5,k2,0.05,0.015,200
null_gauss,gauss,20000,2,hsic,0.0,0.0,200
null_gauss,gauss,20000,2,k1,0.0,0.005,200
null_gauss,gauss,20000,2,k1,0.01,0.01,200
null_gauss,gauss,20000,2,k1,0.05,0.01,200
null_gauss,gauss,20000,2,k2,0.0,0.0,200
null_gauss,gauss,20000,2,k2,0.01,0.005,200
null_gauss,gauss,20000,2,k2,0.05,0.01,200
null_gauss,gauss,20000,3,hsic,0.0,0.0,200
null_gauss,gauss,20000,3,k1,0.0,0.005,200
null_gauss,gauss,20000,3,k1,0.01,0.01,200
null_gauss,gauss,20000,3,k1,0.05,0.01,200
null_gauss,gauss,20000,3,k2,0.0,0.0,200
null_gauss,gauss,20000,3,k2,0.01,0.005,200
null_gauss,gauss,20000,3,k2,0.05,0.01,200
null_gauss,gauss,20000,5,hsic,0.0,0.0,200
null_gauss,gauss,20000,5,k1,0.0,0.005,200
null_gauss,gauss,20000,5,k1,0.01,0.01,200
null_gauss,gauss,20000,5,k1,0.05,0.01,200
null_gauss,gauss,20000,5,k2,0.0,0.0,200
null_gauss,gauss,20000,5,k2,0.01,0.005,200
null_gauss,gauss,20000,5,k2,0.05,0.01,200
null_gauss,t3,2000,2,hsic,0.0,0.0,200
null_gauss,t3,2000,2,k1,0.05,0.005,200
null_gauss,t3,2000,2,k2,0.05,0.08,200
null_gauss,t3,2000,3,hsic,0.0,0.0,200
null_gauss,t3,2000,3,k1,0.05,0.005,200
null_gauss,t3,2000,3,k2,0.05,0.08,200
null_gauss,t3,2000,5,hsic,0.0,0.0,200
null_gauss,t3,2000,5,k1,0.05,0.005,200
null_gauss,t3,2000,5,k2,0.05,0.08,200
null_gauss,t3,8000,2,hsic,0.0,0.0,200
null_gauss,t3,8000,2,k1,0.05,0.01,200
null_gauss,t3,8000,2,k2,0.05,0.125,200
null_gauss,t3,8000,3,hsic,0.0,0.0,200
null_gauss,t3,8000,3,k1,0.05,0.01,200
null_gauss,t3,8000,3,k2,0.05,0.125,200
null_gauss,t3,8000,5,hsic,0.0,0.0,200
null_gauss,t3,8000,5,k1,0.05,0.01,200
null_gauss,t3,8000,5,k2,0.05,0.125,200
null_gauss,t3,20000,2,hsic,0.0,0.0,200
null_gauss,t3,20000,2,k1,0.05,0.015,200
null_gauss,t3,20000,2,k2,0.05,0.115,200
null_gauss,t3,20000,3,hsic,0.0,0.0,200
null_gauss,t3,20000,3,k1,0.05,0.015,200
null_gauss,t3,20000,3,k2,0.05,0.115,200
null_gauss,t3,20000,5,hsic,0.0,0.0,200
null_gauss,t3,20000,5,k1,0.05,0.015,200
null_gauss,t3,20000,5,k2,0.05,0.115,200
null_nonparam,gauss,2000,2,hsic,0.0,0.0,200
null_nonparam,gauss,2000,2,k1,0.0,0.0,200
null_nonparam,gauss,2000,2,k1,0.01,0.0,200
null_nonparam,gauss,2000,2,k1,0.05,0.0,200
null_nonparam,gauss,2000,2,k2,0.0,0.0,200
