adv_id,cell,tail_env,stat,engine,fpr,n_reps,feas_frac
A1_two_null_mixture,2-2-5,none,cf1_margin,none,0.0,200,
A1_two_null_mixture,2-2-5,none,gm_battery,none,0.0,200,
A1_two_null_mixture,2-2-5,none,gtest,none,0.0,200,
A1_two_null_mixture,2-2-5,none,kl_crossfit,none,0.0,200,
A1_two_null_mixture,2-2-5,none,kl_plugin,none,0.0,200,
A1_two_null_mixture,2-2-5,none,kl_split,none,0.0,200,
A1_two_null_mixture,2-2-5,none,slack_plugin,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,cf1_margin,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,gm_battery,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,gtest,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,kl_crossfit,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,kl_plugin,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,kl_split,none,0.0,200,
A2_det_nonlinear_chain,2-2-5,none,slack_plugin,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,cf1_margin,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,gm_battery,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,gtest,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,kl_crossfit,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,kl_plugin,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,kl_split,none,0.0,200,
A3_bursty_u_on_y,2-2-4,t3,slack_plugin,none,0.0,200,
A4_feasible_contamination,2-2-5,none,cf1_margin,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,gm_battery,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,gtest,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,kl_crossfit,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,kl_plugin,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,kl_split,none,0.0,200,0.0
A4_feasible_contamination,2-2-5,none,slack_plugin,none,0.0,200,0.0
