n,d,noise,kind,b,seed,method,stat_obs
500,2,gauss,conf_lin,0.1,500000,k1,0.00018242233279697206
500,2,gauss,conf_lin,0.1,500000,k2,0.0346881645530268
500,2,gauss,conf_lin,0.1,500000,hsic,0.001027627685829769
500,2,gauss,conf_lin,0.1,500001,k1,0.001737168406057088
500,2,gauss,conf_lin,0.1,500001,k2,0.06907207181529527
500,2,gauss,conf_lin,0.1,500001,hsic,0.00023003184121269532
500,2,gauss,conf_lin,0.1,500002,k1,0.00027758970787339354
500,2,gauss,conf_lin,0.1,500002,k2,0.03556546947810662
500,2,gauss,conf_lin,0.1,500002,hsic,0.001258447281830831
500,2,gauss,conf_lin,0.1,500003,k1,0.0009677583703193715
500,2,gauss,conf_lin,0.1,500003,k2,0.07515945647115217
500,2,gauss,conf_lin,0.1,500003,hsic,0.00037395327364089873
500,2,gauss,conf_lin,0.1,500004,k1,0.001166823605263212
500,2,gauss,conf_lin,0.1,500004,k2,0.09398548854521444
500,2,gauss,conf_lin,0.1,500004,hsic,0.0006648114606054332
500,2,gauss,conf_lin,0.1,500005,k1,0.0024236446147698487
500,2,gauss,conf_lin,0.1,500005,k2,0.1407126782580013
500,2,gauss,conf_lin,0.1,500005,hsic,0.0015944759507942404
500,2,gauss,conf_lin,0.1,500006,k1,0.0026997296561840356
500,2,gauss,conf_lin,0.1,500006,k2,0.19409609836996664
500,2,gauss,conf_lin,0.1,500006,hsic,0.0009736237742626003
500,2,gauss,conf_lin,0.1,500007,k1,0.0013103756846134518
500,2,gauss,conf_lin,0.1,500007,k2,0.11718622913187376
500,2,gauss,conf_lin,0.1,500007,hsic,0.0007681679517260927
500,2,gauss,conf_lin,0.1,500008,k1,0.0012971840870532603
500,2,gauss,conf_lin,0.1,500008,k2,0.07993005895405798
500,2,gauss,conf_lin,0.1,500008,hsic,0.0014722445398890455
500,2,gauss,conf_lin,0.1,500009,k1,0.0025186392977051275
500,2,gauss,conf_lin,0.1,500009,k2,0.14942186324651646
500,2,gauss,conf_lin,0.1,500009,hsic,0.0003334500127203895
500,2,gauss,conf_lin,0.1,500010,k1,0.0011845522639296613
500,2,gauss,conf_lin,0.1,500010,k2,0.07074044180135255
500,2,gauss,conf_lin,0.1,500010,hsic,0.003062137423844685
500,2,gauss,conf_lin,0.1,500011,k1,0.0008786454953012557
500,2,gauss,conf_lin,0.1,500011,k2,0.0937374937526819
500,2,gauss,conf_lin,0.1,500011,hsic,0.001390950186081607
500,2,gauss,conf_lin,0.1,500012,k1,0.0030687210839039913
500,2,gauss,conf_lin,0.1,500012,k2,0.19426055445372822
500,2,gauss,conf_lin,0.1,500012,hsic,0.0016116612875458614
500,2,gauss,conf_lin,0.1,500013,k1,0.004078648539676877
500,2,gauss,conf_lin,0.1,500013,k2,0.19191878512975968
500,2,gauss,conf_lin,0.1,500013,hsic,0.001869789919012497
500,2,gauss,conf_lin,0.1,500014,k1,0.00031323186103704437
500,2,gauss,conf_lin,0.1,500014,k2,0.030383279324147625
500,2,gauss,conf_lin,0.1,500014,hsic,0.001724812437228218
500,2,gauss,conf_lin,0.1,500015,k1,0.000921176780694033
500,2,gauss,conf_lin,0.1,500015,k2,0.07752224352789268
500,2,gauss,conf_lin,0.1,500015,hsic,0.002701659151346737
500,2,gauss,conf_lin,0.1,500016,k1,0.0009841257159476369
500,2,gauss,conf_lin,0.1,500016,k2,0.08106113741896559
500,2,gauss,conf_lin,0.1,500016,hsic,0.0018238750025071696
500,2,gauss,conf_lin,0.1,500017,k1,0.0028876990375769074
500,2,gauss,conf_lin,0.1,500017,k2,0.17213972833537344
500,2,gauss,conf_lin,0.1,500017,hsic,0.003237883433123038
500,2,gauss,conf_lin,0.1,500018,k1,0.0008462032703886457
500,2,gauss,conf_lin,0.1,500018,k2,0.07900709631021965
500,2,gauss,conf_lin,0.1,500018,hsic,0.002738731219547531
500,2,gauss,conf_lin,0.1,500019,k1,0.001059359801497961
500,2,gauss,conf_lin,0.1,500019,k2,0.08329368180107292
500,2,gauss,conf_lin,0.1,500019,hsic,0.0014653236625649703
500,2,gauss,conf_lin,0.1,500020,k1,0.0005900456620343553
500,2,gauss,conf_lin,0.1,500020,k2,0.06795555902513557
500,2,gauss,conf_lin,0.1,500020,hsic,0.00011310913524283268
500,2,gauss,conf_lin,0.1,500021,k1,0.00041752721847831964
500,2,gauss,conf_lin,0.1,500021,k2,0.06429897091249559
500,2,gauss,conf_lin,0.1,500021,hsic,0.0005575013971025185
500,2,gauss,conf_lin,0.1,500022,k1,0.0009904163747013195
500,2,gauss,conf_lin,0.1,500022,k2,0.08676072081588711
500,2,gauss,conf_lin,0.1,500022,hsic,0.0004400676358935159
500,2,gauss,conf_lin,0.1,500023,k1,0.00036288714983778725
500,2,gauss,conf_lin,0.1,500023,k2,0.04036915641511182
500,2,gauss,conf_lin,0.1,500023,hsic,0.0035902453140597467
500,2,gauss,conf_lin,0.1,500024,k1,0.0003049999639495038
500,2,gauss,conf_lin,0.1,500024,k2,0.06954039018583172
500,2,gauss,conf_lin,0.1,500024,hsic,0.0002359175313790774
500,2,gauss,conf_lin,0.1,500025,k1,0.003483605739825091
500,2,gauss,conf_lin,0.1,500025,k2,0.1190396938353537
500,2,gauss,conf_lin,0.1,500025,hsic,0.001293949694823158
500,2,gauss,conf_lin,0.1,500026,k1,0.0022049366462498776
500,2,gauss,conf_lin,0.1,500026,k2,0.1610507957137572
500,2,gauss,conf_lin,0.1,500026,hsic,0.00012337499539130233
500,2,gauss,conf_lin,0.1,500027,k1,0.001174836662717782
500,2,gauss,conf_lin,0.1,500027,k2,0.060069948528657865
500,2,gauss,conf_lin,0.1,500027,hsic,0.0005927595093114744
500,2,gauss,conf_lin,0.1,500028,k1,0.00022978347050450765
500,2,gauss,conf_lin,0.1,500028,k2,0.03414795370568056
500,2,gauss,conf_lin,0.1,500028,hsic,0.000987524778571058
500,2,gauss,conf_lin,0.1,500029,k1,0.0018705358738173583
500,2,gauss,conf_lin,0.1,500029,k2,0.07423610848524119
500,2,gauss,conf_lin,0.1,500029,hsic,5.940082520124274e-06
500,2,gauss,conf_lin,0.1,500030,k1,0.00020186153446832833
500,2,gauss,conf_lin,0.1,500030,k2,0.027997636425809422
500,2,gauss,conf_lin,0.1,500030,hsic,0.0022332169810167397
500,2,gauss,conf_lin,0.1,500031,k1,0.0013159907546547167
500,2,gauss,conf_lin,0.1,500031,k2,0.057749764030012286
500,2,gauss,conf_lin,0.1,500031,hsic,0.000965379091379601
500,2,gauss,conf_lin,0.1,500032,k1,0.001637732307142592
500,2,gauss,conf_lin,0.1,500032,k2,0.17619157073416797
500,2,gauss,conf_lin,0.1,500032,hsic,0.0005717014132122183
500,2,gauss,conf_lin,0.1,500033,k1,0.001179118366888443
500,2,gauss,conf_lin,0.1,500033,k2,0.06992422823029408
500,2,gauss,conf_lin,0.1,500033,hsic,7.209176973278715e-05
500,2,gauss,conf_lin,0.1,500034,k1,0.0006842482249386217
500,2,gauss,conf_lin,0.1,500034,k2,0.03776469154872819
500,2,gauss,conf_lin,0.1,500034,hsic,0.0010387134887457571
500,2,gauss,conf_lin,0.1,500035,k1,0.0006892394410658031
500,2,gauss,conf_lin,0.1,500035,k2,0.032980970670799255
500,2,gauss,conf_lin,0.1,500035,hsic,0.0011239727453882466
500,2,gauss,conf_lin,0.1,500036,k1,0.0008279393083914233
500,2,gauss,conf_lin,0.1,500036,k2,0.05259924044578612
500,2,gauss,conf_lin,0.1,500036,hsic,0.0006206931112600412
500,2,gauss,conf_lin,0.1,500037,k1,0.0007792716241016295
500,2,gauss,conf_lin,0.1,500037,k2,0.10057664673172854
500,2,gauss,conf_lin,0.1,500037,hsic,0.0003430693246645355
500,2,gauss,conf_lin,0.1,500038,k1,0.0005896519345949258
500,2,gauss,conf_lin,0.1,500038,k2,0.0800569572129338
500,2,gauss,conf_lin,0.1,500038,hsic,0.003104842731207123
500,2,gauss,conf_lin,0.1,500039,k1,0.002045733548841855
500,2,gauss,conf_lin,0.1,500039,k2,0.10729756769266786
500,2,gauss,conf_lin,0.1,500039,hsic,0.0022286531243628964
500,2,gauss,conf_lin,0.1,500040,k1,0.0008581471914752559
500,2,gauss,conf_lin,0.1,500040,k2,0.056507092832859804
500,2,gauss,conf_lin,0.1,500040,hsic,0.0007746640918667916
500,2,gauss,conf_lin,0.1,500041,k1,0.002262976163982966
500,2,gauss,conf_lin,0.1,500041,k2,0.12034871777507164
500,2,gauss,conf_lin,0.1,500041,hsic,0.0005039703518977142
500,2,gauss,conf_lin,0.1,500042,k1,0.001628532062664445
500,2,gauss,conf_lin,0.1,500042,k2,0.10278018051993015
500,2,gauss,conf_lin,0.1,500042,hsic,7.057677325546592e-05
500,2,gauss,conf_lin,0.1,500043,k1,0.001856031099938038
500,2,gauss,conf_lin,0.1,500043,k2,0.13783777623116952
500,2,gauss,conf_lin,0.1,500043,hsic,0.003306125374357035
500,2,gauss,conf_lin,0.1,500044,k1,0.0033611846764356468
500,2,gauss,conf_lin,0.1,500044,k2,0.20608218999520786
500,2,gauss,conf_lin,0.1,500044,hsic,0.0003278904498090251
500,2,gauss,conf_lin,0.1,500045,k1,4.804389065471426e-05
500,2,gauss,conf_lin,0.1,500045,k2,0.023970252645575733
500,2,gauss,conf_lin,0.1,500045,hsic,0.00019658338688060978
500,2,gauss,conf_lin,0.1,500046,k1,0.0011220940246382538
500,2,gauss,conf_lin,0.1,500046,k2,0.07827504426301587
500,2,gauss,conf_lin,0.1,500046,hsic,0.0007716727944092215
500,2,gauss,conf_lin,0.1,500047,k1,0.0016068887999908243
500,2,gauss,conf_lin,0.1,500047,k2,0.10739150455024916
500,2,gauss,conf_lin,0.1,500047,hsic,0.001665426119674043
500,2,gauss,conf_lin,0.1,500048,k1,0.0004365730143668367
500,2,gauss,conf_lin,0.1,500048,k2,0.04279556565153657
500,2,gauss,conf_lin,0.1,500048,hsic,0.0022954885467256995
500,2,gauss,conf_lin,0.1,500049,k1,0.0018659255255446539
500,2,gauss,conf_lin,0.1,500049,k2,0.08154253027401724
500,2,gauss,conf_lin,0.1,500049,hsic,0.001247811283763284
500,2,gauss,conf_lin,0.1,500050,k1,0.0017214998093108003
500,2,gauss,conf_lin,0.1,500050,k2,0.18769258974741318
500,2,gauss,conf_lin,0.1,500050,hsic,0.000905665103623912
500,2,gauss,conf_lin,0.1,500051,k1,0.0011632745141565426
500,2,gauss,conf_lin,0.1,500051,k2,0.0831791620532828
500,2,gauss,conf_lin,0.1,500051,hsic,0.0035870076921405017
500,2,gauss,conf_lin,0.1,500052,k1,0.0008048689270372389
500,2,gauss,conf_lin,0.1,500052,k2,0.0669254114432189
500,2,gauss,conf_lin,0.1,500052,hsic,0.0007465629127755829
500,2,gauss,conf_lin,0.1,500053,k1,0.0005178612992126075
500,2,gauss,conf_lin,0.1,500053,k2,0.03655925224797687
500,2,gauss,conf_lin,0.1,500053,hsic,0.0001666111058495114
500,2,gauss,conf_lin,0.1,500054,k1,0.0011353183680913315
500,2,gauss,conf_lin,0.1,500054,k2,0.05693037471117685
500,2,gauss,conf_lin,0.1,500054,hsic,0.0020226553290642536
500,2,gauss,conf_lin,0.1,500055,k1,0.0019997154780260207
500,2,gauss,conf_lin,0.1,500055,k2,0.06836272418894085
500,2,gauss,conf_lin,0.1,500055,hsic,7.353500539290546e-05
500,2,gauss,conf_lin,0.1,500056,k1,0.000756628056528097
500,2,gauss,conf_lin,0.1,500056,k2,0.05745821287391162
500,2,gauss,conf_lin,0.1,500056,hsic,0.003568772213971281
500,2,gauss,conf_lin,0.1,500057,k1,0.0006686204479108282
500,2,gauss,conf_lin,0.1,500057,k2,0.05747783617334807
500,2,gauss,conf_lin,0.1,500057,hsic,0.00043200655646852656
500,2,gauss,conf_lin,0.1,500058,k1,0.000702510664599032
500,2,gauss,conf_lin,0.1,500058,k2,0.053836592217467526
500,2,gauss,conf_lin,0.1,500058,hsic,0.0002643804290588731
500,2,gauss,conf_lin,0.1,500059,k1,0.0016316791787106544
500,2,gauss,conf_lin,0.1,500059,k2,0.13391582729952106
500,2,gauss,conf_lin,0.1,500059,hsic,0.00019856519981570513
500,2,gauss,conf_lin,0.1,500060,k1,0.0009402762752095395
500,2,gauss,conf_lin,0.1,500060,k2,0.07585063561134411
500,2,gauss,conf_lin,0.1,500060,hsic,0.0007355409383536567
500,2,gauss,conf_lin,0.1,500061,k1,0.000599348690746293
500,2,gauss,conf_lin,0.1,500061,k2,0.0804978791227579
500,2,gauss,conf_lin,0.1,500061,hsic,0.0014031201267818713
500,2,gauss,conf_lin,0.1,500062,k1,0.0014652732223366938
500,2,gauss,conf_lin,0.1,500062,k2,0.11332203036795804
500,2,gauss,conf_lin,0.1,500062,hsic,0.0010654773095760564
500,2,gauss,conf_lin,0.1,500063,k1,0.002005878891241486
500,2,gauss,conf_lin,0.1,500063,k2,0.16640365821430797
500,2,gauss,conf_lin,0.1,500063,hsic,0.0030590910142761253
500,2,gauss,conf_lin,0.1,500064,k1,0.0002886068556774424
500,2,gauss,conf_lin,0.1,500064,k2,0.04347633839494242
500,2,gauss,conf_lin,0.1,500064,hsic,0.0035556531696341633
500,2,gauss,conf_lin,0.1,500065,k1,0.0007030848578233329
500,2,gauss,conf_lin,0.1,500065,k2,0.0710665666939428
500,2,gauss,conf_lin,0.1,500065,hsic,0.0011363912131697065
500,2,gauss,conf_lin,0.1,500066,k1,0.0001916030219528686
500,2,gauss,conf_lin,0.1,500066,k2,0.043051543597456915
500,2,gauss,conf_lin,0.1,500066,hsic,0.001219854087029497
500,2,gauss,conf_lin,0.1,500067,k1,0.00040477876957845105
500,2,gauss,conf_lin,0.1,500067,k2,0.05909660778360678
500,2,gauss,conf_lin,0.1,500067,hsic,0.004550279175053451
500,2,gauss,conf_lin,0.1,500068,k1,0.000496810866434938
500,2,gauss,conf_lin,0.1,500068,k2,0.03649713226227154
500,2,gauss,conf_lin,0.1,500068,hsic,0.0009710758236071428
500,2,gauss,conf_lin,0.1,500069,k1,0.002670932507311763
500,2,gauss,conf_lin,0.1,500069,k2,0.13835359767168937
500,2,gauss,conf_lin,0.1,500069,hsic,0.0012773505634549166
500,2,gauss,conf_lin,0.1,500070,k1,0.0009824269569892463
500,2,gauss,conf_lin,0.1,500070,k2,0.055595920380749946
500,2,gauss,conf_lin,0.1,500070,hsic,0.0008430215843328431
500,2,gauss,conf_lin,0.1,500071,k1,0.0011683151197451336
500,2,gauss,conf_lin,0.1,500071,k2,0.07980185360648995
500,2,gauss,conf_lin,0.1,500071,hsic,0.0014113165324347472
500,2,gauss,conf_lin,0.1,500072,k1,0.0022655828276653134
500,2,gauss,conf_lin,0.1,500072,k2,0.07110144799227512
500,2,gauss,conf_lin,0.1,500072,hsic,0.0003326143220488526
500,2,gauss,conf_lin,0.1,500073,k1,0.0018385687077908663
500,2,gauss,conf_lin,0.1,500073,k2,0.0887204189436531
500,2,gauss,conf_lin,0.1,500073,hsic,0.0018284601745447294
500,2,gauss,conf_lin,0.1,500074,k1,0.003241433180155906
500,2,gauss,conf_lin,0.1,500074,k2,0.23586996574254132
500,2,gauss,conf_lin,0.1,500074,hsic,0.0006124566445363999
500,2,gauss,conf_lin,0.1,500075,k1,0.0027274852316100384
500,2,gauss,conf_lin,0.1,500075,k2,0.09498317564164672
500,2,gauss,conf_lin,0.1,500075,hsic,0.00031109139344321084
500,2,gauss,conf_lin,0.1,500076,k1,0.0008447336967544183
500,2,gauss,conf_lin,0.1,500076,k2,0.07601138863179309
500,2,gauss,conf_lin,0.1,500076,hsic,0.00171339931870498
500,2,gauss,conf_lin,0.1,500077,k1,0.0007954502827598464
500,2,gauss,conf_lin,0.1,500077,k2,0.06241197115732078
500,2,gauss,conf_lin,0.1,500077,hsic,0.0011194439495309748
500,2,gauss,conf_lin,0.1,500078,k1,0.001973040859424957
500,2,gauss,conf_lin,0.1,500078,k2,0.11477243397899523
500,2,gauss,conf_lin,0.1,500078,hsic,0.003188662082309791
500,2,gauss,conf_lin,0.1,500079,k1,0.0038815448284743592
500,2,gauss,conf_lin,0.1,500079,k2,0.20910209465581348
500,2,gauss,conf_lin,0.1,500079,hsic,0.0017583410735456891
500,2,gauss,conf_lin,0.1,500080,k1,0.0007678828953053829
500,2,gauss,conf_lin,0.1,500080,k2,0.07963541925678437
500,2,gauss,conf_lin,0.1,500080,hsic,1.785580069223208e-05
500,2,gauss,conf_lin,0.1,500081,k1,0.0008297632058550386
500,2,gauss,conf_lin,0.1,500081,k2,0.043579733689200185
500,2,gauss,conf_lin,0.1,500081,hsic,0.002464344809743716
500,2,gauss,conf_lin,0.1,500082,k1,0.0013212241523629098
500,2,gauss,conf_lin,0.1,500082,k2,0.058123402732639794
500,2,gauss,conf_lin,0.1,500082,hsic,0.002307290223788912
500,2,gauss,conf_lin,0.1,500083,k1,0.0017515433488726195
500,2,gauss,conf_lin,0.1,500083,k2,0.12262103277236655
500,2,gauss,conf_lin,0.1,500083,hsic,0.001371489067379008
500,2,gauss,conf_lin,0.1,500084,k1,0.0011098005680604262
500,2,gauss,conf_lin,0.1,500084,k2,0.10058735789256545
500,2,gauss,conf_lin,0.1,500084,hsic,0.0031439426325735047
500,2,gauss,conf_lin,0.1,500085,k1,0.0007667665276640534
500,2,gauss,conf_lin,0.1,500085,k2,0.06528050985802034
500,2,gauss,conf_lin,0.1,500085,hsic,0.002478424904447026
500,2,gauss,conf_lin,0.1,500086,k1,0.0009948668101754654
500,2,gauss,conf_lin,0.1,500086,k2,0.06567979440844414
500,2,gauss,conf_lin,0.1,500086,hsic,0.001573274122277333
500,2,gauss,conf_lin,0.1,500087,k1,0.001657212791616236
500,2,gauss,conf_lin,0.1,500087,k2,0.09036152197832417
500,2,gauss,conf_lin,0.1,500087,hsic,0.0005111748145048911
500,2,gauss,conf_lin,0.1,500088,k1,0.0004996896046871591
500,2,gauss,conf_lin,0.1,500088,k2,0.05115454911029732
500,2,gauss,conf_lin,0.1,500088,hsic,0.0027982494551046233
500,2,gauss,conf_lin,0.1,500089,k1,0.0027936941554366213
500,2,gauss,conf_lin,0.1,500089,k2,0.15187351865629645
500,2,gauss,conf_lin,0.1,500089,hsic,0.0005887541499088789
500,2,gauss,conf_lin,0.1,500090,k1,0.00024389229737231677
500,2,gauss,conf_lin,0.1,500090,k2,0.055001866047168654
500,2,gauss,conf_lin,0.1,500090,hsic,0.000766467943500307
500,2,gauss,conf_lin,0.1,500091,k1,0.000359054543962678
500,2,gauss,conf_lin,0.1,500091,k2,0.050849589761114526
500,2,gauss,conf_lin,0.1,500091,hsic,0.0003543595457186958
500,2,gauss,conf_lin,0.1,500092,k1,0.0005252015087713335
500,2,gauss,conf_lin,0.1,500092,k2,0.05064076511074344
500,2,gauss,conf_lin,0.1,500092,hsic,0.001274193161870889
500,2,gauss,conf_lin,0.1,500093,k1,0.0007675307994600145
500,2,gauss,conf_lin,0.1,500093,k2,0.04400852856661986
500,2,gauss,conf_lin,0.1,500093,hsic,0.0012388153153560528
500,2,gauss,conf_lin,0.1,500094,k1,0.00060670937680396
500,2,gauss,conf_lin,0.1,500094,k2,0.0876051487502239
500,2,gauss,conf_lin,0.1,500094,hsic,0.0024614926511214307
500,2,gauss,conf_lin,0.1,500095,k1,0.0009626588522537727
500,2,gauss,conf_lin,0.1,500095,k2,0.0905663919408674
500,2,gauss,conf_lin,0.1,500095,hsic,0.0001664466553903217
500,2,gauss,conf_lin,0.1,500096,k1,0.0003845196723820665
500,2,gauss,conf_lin,0.1,500096,k2,0.053072258695118
500,2,gauss,conf_lin,0.1,500096,hsic,0.002268904832030852
500,2,gauss,conf_lin,0.1,500097,k1,0.008782349258527167
500,2,gauss,conf_lin,0.1,500097,k2,0.23107623358907983
500,2,gauss,conf_lin,0.1,500097,hsic,0.0019039015072043039
500,2,gauss,conf_lin,0.1,500098,k1,0.0012756917560702297
500,2,gauss,conf_lin,0.1,500098,k2,0.09356010348848927
500,2,gauss,conf_lin,0.1,500098,hsic,0.0014383329541692782
500,2,gauss,conf_lin,0.1,500099,k1,0.00262694939916297
500,2,gauss,conf_lin,0.1,500099,k2,0.14594651691272428
500,2,gauss,conf_lin,0.1,500099,hsic,0.0005756725000425456
500,2,gauss,conf_lin,0.1,500100,k1,0.0001936168539954375
500,2,gauss,conf_lin,0.1,500100,k2,0.024005852150778485
500,2,gauss,conf_lin,0.1,500100,hsic,0.002556210604786203
500,2,gauss,conf_lin,0.1,500101,k1,0.00022126104309538874
500,2,gauss,conf_lin,0.1,500101,k2,0.04129329909573819
500,2,gauss,conf_lin,0.1,500101,hsic,0.0015567655058816255
500,2,gauss,conf_lin,0.1,500102,k1,0.001189265985582666
500,2,gauss,conf_lin,0.1,500102,k2,0.1012100853165917
500,2,gauss,conf_lin,0.1,500102,hsic,0.0007135373346846613
500,2,gauss,conf_lin,0.1,500103,k1,0.0006994525579593347
500,2,gauss,conf_lin,0.1,500103,k2,0.0467342679664713
500,2,gauss,conf_lin,0.1,500103,hsic,9.578932197629483e-05
500,2,gauss,conf_lin,0.1,500104,k1,0.0007690874118049251
500,2,gauss,conf_lin,0.1,500104,k2,0.07568087191486018
500,2,gauss,conf_lin,0.1,500104,hsic,0.001017819618065972
500,2,gauss,conf_lin,0.1,500105,k1,0.0029719325354556902
500,2,gauss,conf_lin,0.1,500105,k2,0.13269018016166498
500,2,gauss,conf_lin,0.1,500105,hsic,0.0026383702210248526
500,2,gauss,conf_lin,0.1,500106,k1,0.0007908046391306156
500,2,gauss,conf_lin,0.1,500106,k2,0.08466074168130726
500,2,gauss,conf_lin,0.1,500106,hsic,0.0027696507963417
500,2,gauss,conf_lin,0.1,500107,k1,0.0015959202866395739
500,2,gauss,conf_lin,0.1,500107,k2,0.0585512903690214
500,2,gauss,conf_lin,0.1,500107,hsic,0.0006149033562849057
500,2,gauss,conf_lin,0.1,500108,k1,0.0017646317615295226
500,2,gauss,conf_lin,0.1,500108,k2,0.11398579298632322
500,2,gauss,conf_lin,0.1,500108,hsic,0.00040826758223935056
500,2,gauss,conf_lin,0.1,500109,k1,0.0007888723147523313
500,2,gauss,conf_lin,0.1,500109,k2,0.07824419789788989
500,2,gauss,conf_lin,0.1,500109,hsic,0.0005480285478068884
500,2,gauss,conf_lin,0.1,500110,k1,0.0005080584318720716
500,2,gauss,conf_lin,0.1,500110,k2,0.054706040541073614
500,2,gauss,conf_lin,0.1,500110,hsic,0.0010510092031740402
500,2,gauss,conf_lin,0.1,500111,k1,0.0010063877873531801
500,2,gauss,conf_lin,0.1,500111,k2,0.09847479843877423
500,2,gauss,conf_lin,0.1,500111,hsic,0.002573777840487996
500,2,gauss,conf_lin,0.1,500112,k1,0.0014017187170649592
500,2,gauss,conf_lin,0.1,500112,k2,0.07170826580939008
500,2,gauss,conf_lin,0.1,500112,hsic,0.00197715042361457
500,2,gauss,conf_lin,0.1,500113,k1,0.00033434494052642094
500,2,gauss,conf_lin,0.1,500113,k2,0.06123018557270837
500,2,gauss,conf_lin,0.1,500113,hsic,0.0003015561759393994
500,2,gauss,conf_lin,0.1,500114,k1,0.0007612583717656607
500,2,gauss,conf_lin,0.1,500114,k2,0.061769534320059064
500,2,gauss,conf_lin,0.1,500114,hsic,0.0010348414896243728
500,2,gauss,conf_lin,0.1,500115,k1,0.000924981762494892
500,2,gauss,conf_lin,0.1,500115,k2,0.06742892714947821
500,2,gauss,conf_lin,0.1,500115,hsic,0.0005716184676352721
500,2,gauss,conf_lin,0.1,500116,k1,0.00270819971852021
500,2,gauss,conf_lin,0.1,500116,k2,0.1117647148355647
500,2,gauss,conf_lin,0.1,500116,hsic,0.00028106708648201244
500,2,gauss,conf_lin,0.1,500117,k1,0.002096621108415464
500,2,gauss,conf_lin,0.1,500117,k2,0.13109008891363716
500,2,gauss,conf_lin,0.1,500117,hsic,0.0032188195414392736
500,2,gauss,conf_lin,0.1,500118,k1,0.0008198743773517592
500,2,gauss,conf_lin,0.1,500118,k2,0.041480404945430746
500,2,gauss,conf_lin,0.1,500118,hsic,0.0005737016051916195
500,2,gauss,conf_lin,0.1,500119,k1,0.0014039037432771462
500,2,gauss,conf_lin,0.1,500119,k2,0.06897892588157353
500,2,gauss,conf_lin,0.1,500119,hsic,0.0018641229833528659
500,2,gauss,conf_lin,0.1,500120,k1,0.0005508307069655993
500,2,gauss,conf_lin,0.1,500120,k2,0.05777193313046891
500,2,gauss,conf_lin,0.1,500120,hsic,0.0013708340507170595
