n,d,noise,kind,b,seed,method,stat_obs
20000,5,t3,conf_lin,0.6,500000,k1,0.007967401273184849
20000,5,t3,conf_lin,0.6,500000,k2,0.049002093808899666
20000,5,t3,conf_lin,0.6,500000,hsic,0.005226796298110888
20000,5,t3,conf_lin,0.6,500001,k1,0.005839947903321541
20000,5,t3,conf_lin,0.6,500001,k2,0.046489030454394085
20000,5,t3,conf_lin,0.6,500001,hsic,0.00293727584210657
20000,5,t3,conf_lin,0.6,500002,k1,0.007040556272001397
20000,5,t3,conf_lin,0.6,500002,k2,0.0411614951178307
20000,5,t3,conf_lin,0.6,500002,hsic,0.006138548068940827
20000,5,t3,conf_lin,0.6,500003,k1,0.008106246789204685
20000,5,t3,conf_lin,0.6,500003,k2,0.06660389734630406
20000,5,t3,conf_lin,0.6,500003,hsic,0.004071949569702005
20000,5,t3,conf_lin,0.6,500004,k1,0.010167069406287865
20000,5,t3,conf_lin,0.6,500004,k2,0.03884782671609643
20000,5,t3,conf_lin,0.6,500004,hsic,0.0014149356337437634
20000,5,t3,conf_lin,0.6,500005,k1,0.00808259081694318
20000,5,t3,conf_lin,0.6,500005,k2,0.040245867166731494
20000,5,t3,conf_lin,0.6,500005,hsic,0.003419826090454594
20000,5,t3,conf_lin,0.6,500006,k1,0.005868972909456871
20000,5,t3,conf_lin,0.6,500006,k2,0.030144309516732023
20000,5,t3,conf_lin,0.6,500006,hsic,0.00188421402180374
20000,5,t3,conf_lin,0.6,500007,k1,0.006614190868007297
20000,5,t3,conf_lin,0.6,500007,k2,0.05527960313451008
20000,5,t3,conf_lin,0.6,500007,hsic,0.003520147828730579
20000,5,t3,conf_lin,0.6,500008,k1,0.00920776946556312
20000,5,t3,conf_lin,0.6,500008,k2,0.06361543557122669
20000,5,t3,conf_lin,0.6,500008,hsic,0.004395308939143888
20000,5,t3,conf_lin,0.6,500009,k1,0.007910099275911908
20000,5,t3,conf_lin,0.6,500009,k2,0.07835689208182817
20000,5,t3,conf_lin,0.6,500009,hsic,0.001559884243447269
20000,5,t3,conf_lin,0.6,500010,k1,0.006682375610582603
20000,5,t3,conf_lin,0.6,500010,k2,0.04488908280686628
20000,5,t3,conf_lin,0.6,500010,hsic,0.002939609207580907
20000,5,t3,conf_lin,0.6,500011,k1,0.007506759726167878
20000,5,t3,conf_lin,0.6,500011,k2,0.08276778262408595
20000,5,t3,conf_lin,0.6,500011,hsic,0.0011768929209517098
20000,5,t3,conf_lin,0.6,500012,k1,0.00697671827528179
20000,5,t3,conf_lin,0.6,500012,k2,0.1578637855675141
20000,5,t3,conf_lin,0.6,500012,hsic,0.002191296814128661
20000,5,t3,conf_lin,0.6,500013,k1,0.005203660233022767
20000,5,t3,conf_lin,0.6,500013,k2,0.04296555540499521
20000,5,t3,conf_lin,0.6,500013,hsic,0.004105589891228169
20000,5,t3,conf_lin,0.6,500014,k1,0.005747913601705679
20000,5,t3,conf_lin,0.6,500014,k2,0.06395279444839855
20000,5,t3,conf_lin,0.6,500014,hsic,0.001224539328285437
20000,5,t3,conf_lin,0.6,500015,k1,0.008605809128821362
20000,5,t3,conf_lin,0.6,500015,k2,0.04134653621918225
20000,5,t3,conf_lin,0.6,500015,hsic,0.0035540642428459265
20000,5,t3,conf_lin,0.6,500016,k1,0.011684060885702507
20000,5,t3,conf_lin,0.6,500016,k2,0.07492125789521098
20000,5,t3,conf_lin,0.6,500016,hsic,0.0035050532040689702
20000,5,t3,conf_lin,0.6,500017,k1,0.014396418648115028
20000,5,t3,conf_lin,0.6,500017,k2,0.055082355601402094
20000,5,t3,conf_lin,0.6,500017,hsic,0.000208190490086608
20000,5,t3,conf_lin,0.6,500018,k1,0.005421508768152616
20000,5,t3,conf_lin,0.6,500018,k2,0.043810579631386404
20000,5,t3,conf_lin,0.6,500018,hsic,0.00037980106353392907
20000,5,t3,conf_lin,0.6,500019,k1,0.009745761845225132
20000,5,t3,conf_lin,0.6,500019,k2,0.07071810848177597
20000,5,t3,conf_lin,0.6,500019,hsic,0.0039774227739847985
20000,5,t3,conf_lin,0.6,500020,k1,0.008376100617586424
20000,5,t3,conf_lin,0.6,500020,k2,0.08566065527882552
20000,5,t3,conf_lin,0.6,500020,hsic,0.0011438041916422726
20000,5,t3,conf_lin,0.6,500021,k1,0.008114853482749207
20000,5,t3,conf_lin,0.6,500021,k2,0.09600878110852498
20000,5,t3,conf_lin,0.6,500021,hsic,0.0009490561218719897
20000,5,t3,conf_lin,0.6,500022,k1,0.009298304599359208
20000,5,t3,conf_lin,0.6,500022,k2,0.11318181975080055
20000,5,t3,conf_lin,0.6,500022,hsic,0.002618953456927421
20000,5,t3,conf_lin,0.6,500023,k1,0.010029978172305887
20000,5,t3,conf_lin,0.6,500023,k2,0.04180940385316698
20000,5,t3,conf_lin,0.6,500023,hsic,0.0023497741173875092
20000,5,t3,conf_lin,0.6,500024,k1,0.005414782978568788
20000,5,t3,conf_lin,0.6,500024,k2,0.08039602724004918
20000,5,t3,conf_lin,0.6,500024,hsic,0.0020902702794611157
20000,5,t3,conf_lin,0.6,500025,k1,0.009645504680914962
20000,5,t3,conf_lin,0.6,500025,k2,0.10149793451062573
20000,5,t3,conf_lin,0.6,500025,hsic,0.0009747836833593814
20000,5,t3,conf_lin,0.6,500026,k1,0.0059471760683015296
20000,5,t3,conf_lin,0.6,500026,k2,0.04632946729865298
20000,5,t3,conf_lin,0.6,500026,hsic,0.004703081808364489
20000,5,t3,conf_lin,0.6,500027,k1,0.007445531673658468
20000,5,t3,conf_lin,0.6,500027,k2,0.04533827343682683
20000,5,t3,conf_lin,0.6,500027,hsic,0.0032974545453944067
20000,5,t3,conf_lin,0.6,500028,k1,0.009323626844691457
20000,5,t3,conf_lin,0.6,500028,k2,0.06635364614784726
20000,5,t3,conf_lin,0.6,500028,hsic,0.0036090454392298456
20000,5,t3,conf_lin,0.6,500029,k1,0.008327677270776102
20000,5,t3,conf_lin,0.6,500029,k2,0.08720444818137657
20000,5,t3,conf_lin,0.6,500029,hsic,0.004236532954271071
20000,5,t3,conf_lin,0.6,500030,k1,0.005492717274452774
20000,5,t3,conf_lin,0.6,500030,k2,0.04387559716969036
20000,5,t3,conf_lin,0.6,500030,hsic,0.002913957355114723
20000,5,t3,conf_lin,0.6,500031,k1,0.01282460764764215
20000,5,t3,conf_lin,0.6,500031,k2,0.04062428535610781
20000,5,t3,conf_lin,0.6,500031,hsic,0.0020793109743346637
20000,5,t3,conf_lin,0.6,500032,k1,0.004013773706571189
20000,5,t3,conf_lin,0.6,500032,k2,0.034343719324941305
20000,5,t3,conf_lin,0.6,500032,hsic,0.00012232107423214078
20000,5,t3,conf_lin,0.6,500033,k1,0.005118618833024113
20000,5,t3,conf_lin,0.6,500033,k2,0.041409531073336774
20000,5,t3,conf_lin,0.6,500033,hsic,0.005892184658237346
20000,5,t3,conf_lin,0.6,500034,k1,0.010466515298566681
20000,5,t3,conf_lin,0.6,500034,k2,0.058465742035853696
20000,5,t3,conf_lin,0.6,500034,hsic,0.0036307434210347254
20000,5,t3,conf_lin,0.6,500035,k1,0.007426572550948696
20000,5,t3,conf_lin,0.6,500035,k2,0.047228494659768486
20000,5,t3,conf_lin,0.6,500035,hsic,0.0010862646703158117
20000,5,t3,conf_lin,0.6,500036,k1,0.009757574406431213
20000,5,t3,conf_lin,0.6,500036,k2,0.05906692690545713
20000,5,t3,conf_lin,0.6,500036,hsic,7.417600802016366e-05
20000,5,t3,conf_lin,0.6,500037,k1,0.012413311687672568
20000,5,t3,conf_lin,0.6,500037,k2,0.03353666658670619
20000,5,t3,conf_lin,0.6,500037,hsic,0.0015516624780202838
20000,5,t3,conf_lin,0.6,500038,k1,0.003567200338025933
20000,5,t3,conf_lin,0.6,500038,k2,0.03788350936983941
20000,5,t3,conf_lin,0.6,500038,hsic,4.904127051897966e-05
20000,5,t3,conf_lin,0.6,500039,k1,0.007646676137135433
20000,5,t3,conf_lin,0.6,500039,k2,0.08758374692330866
20000,5,t3,conf_lin,0.6,500039,hsic,0.0022859926739627317
20000,5,t3,conf_lin,0.6,500040,k1,0.005761866792940107
20000,5,t3,conf_lin,0.6,500040,k2,0.0638014226178268
20000,5,t3,conf_lin,0.6,500040,hsic,0.0025712818756965226
20000,5,t3,conf_lin,0.6,500041,k1,0.012858842785826607
20000,5,t3,conf_lin,0.6,500041,k2,0.03035067829665446
20000,5,t3,conf_lin,0.6,500041,hsic,0.0015934751308449414
20000,5,t3,conf_lin,0.6,500042,k1,0.011110291277497741
20000,5,t3,conf_lin,0.6,500042,k2,0.044943594350427975
20000,5,t3,conf_lin,0.6,500042,hsic,0.002048301878589054
20000,5,t3,conf_lin,0.6,500043,k1,0.0071705987958824435
20000,5,t3,conf_lin,0.6,500043,k2,0.0992996251460482
20000,5,t3,conf_lin,0.6,500043,hsic,0.003739723497356217
20000,5,t3,conf_lin,0.6,500044,k1,0.005855189745842093
20000,5,t3,conf_lin,0.6,500044,k2,0.11895522070120995
20000,5,t3,conf_lin,0.6,500044,hsic,0.0007168926488665539
20000,5,t3,conf_lin,0.6,500045,k1,0.007807123995491105
20000,5,t3,conf_lin,0.6,500045,k2,0.0863070993234982
20000,5,t3,conf_lin,0.6,500045,hsic,0.006017998936793024
20000,5,t3,conf_lin,0.6,500046,k1,0.007156657548110568
20000,5,t3,conf_lin,0.6,500046,k2,0.07837115558387511
20000,5,t3,conf_lin,0.6,500046,hsic,0.004396753346488141
20000,5,t3,conf_lin,0.6,500047,k1,0.008253334298372494
20000,5,t3,conf_lin,0.6,500047,k2,0.08166543747262632
20000,5,t3,conf_lin,0.6,500047,hsic,0.0026461385336139617
20000,5,t3,conf_lin,0.6,500048,k1,0.007223581867824902
20000,5,t3,conf_lin,0.6,500048,k2,0.0530336068605275
20000,5,t3,conf_lin,0.6,500048,hsic,0.006791323973663941
20000,5,t3,conf_lin,0.6,500049,k1,0.008639301143494316
20000,5,t3,conf_lin,0.6,500049,k2,0.0631210222528743
20000,5,t3,conf_lin,0.6,500049,hsic,0.0025982702959171378
20000,5,t3,conf_lin,0.6,500050,k1,0.013493013229841089
