n,d,noise,kind,b,seed,method,stat_obs
2000,3,gauss,conf_lin,0.6,500000,k1,0.0011390601910015175
2000,3,gauss,conf_lin,0.6,500000,k2,0.05192324404568194
2000,3,gauss,conf_lin,0.6,500000,hsic,0.0004935078351202046
2000,3,gauss,conf_lin,0.6,500001,k1,0.0011586242396536273
2000,3,gauss,conf_lin,0.6,500001,k2,0.08130134643724432
2000,3,gauss,conf_lin,0.6,500001,hsic,0.0014074459403902262
2000,3,gauss,conf_lin,0.6,500002,k1,0.0013054994325858438
2000,3,gauss,conf_lin,0.6,500002,k2,0.05633123807659781
2000,3,gauss,conf_lin,0.6,500002,hsic,0.0005258986367636888
2000,3,gauss,conf_lin,0.6,500003,k1,0.0004685332053864233
2000,3,gauss,conf_lin,0.6,500003,k2,0.06985227136895215
2000,3,gauss,conf_lin,0.6,500003,hsic,0.0013587384705300866
2000,3,gauss,conf_lin,0.6,500004,k1,0.0019625245553523962
2000,3,gauss,conf_lin,0.6,500004,k2,0.12182414618170222
2000,3,gauss,conf_lin,0.6,500004,hsic,0.0002709632464867251
2000,3,gauss,conf_lin,0.6,500005,k1,0.0010423305562765606
2000,3,gauss,conf_lin,0.6,500005,k2,0.04673501059729825
2000,3,gauss,conf_lin,0.6,500005,hsic,0.0014680313396710834
2000,3,gauss,conf_lin,0.6,500006,k1,0.0024207636978432756
2000,3,gauss,conf_lin,0.6,500006,k2,0.12484514226746973
2000,3,gauss,conf_lin,0.6,500006,hsic,0.0021794198904756543
2000,3,gauss,conf_lin,0.6,500007,k1,0.0017134853451251653
2000,3,gauss,conf_lin,0.6,500007,k2,0.10262076207396147
2000,3,gauss,conf_lin,0.6,500007,hsic,0.0006757391782775384
2000,3,gauss,conf_lin,0.6,500008,k1,0.0015909720448998854
2000,3,gauss,conf_lin,0.6,500008,k2,0.09101488551906464
2000,3,gauss,conf_lin,0.6,500008,hsic,0.002058767445120766
2000,3,gauss,conf_lin,0.6,500009,k1,0.0009424257942516334
2000,3,gauss,conf_lin,0.6,500009,k2,0.051718335786524586
2000,3,gauss,conf_lin,0.6,500009,hsic,0.0017345131967370683
2000,3,gauss,conf_lin,0.6,500010,k1,0.00036328906208882294
2000,3,gauss,conf_lin,0.6,500010,k2,0.053819399909339476
2000,3,gauss,conf_lin,0.6,500010,hsic,0.0007781993222400404
2000,3,gauss,conf_lin,0.6,500011,k1,0.0015448031938372075
2000,3,gauss,conf_lin,0.6,500011,k2,0.10617841126165468
2000,3,gauss,conf_lin,0.6,500011,hsic,0.0013128028071542313
2000,3,gauss,conf_lin,0.6,500012,k1,0.0003470368731572915
2000,3,gauss,conf_lin,0.6,500012,k2,0.0332312196145665
2000,3,gauss,conf_lin,0.6,500012,hsic,8.280023231471488e-05
2000,3,gauss,conf_lin,0.6,500013,k1,0.0009746000802608457
2000,3,gauss,conf_lin,0.6,500013,k2,0.06893679707245094
