n,d,noise,kind,b,seed,method,stat_obs
2000,3,t3,conf_nonlin,0.8,500000,k1,0.007072001617813961
2000,3,t3,conf_nonlin,0.8,500000,k2,0.12784121940690224
2000,3,t3,conf_nonlin,0.8,500000,hsic,0.0023964626781784147
2000,3,t3,conf_nonlin,0.8,500001,k1,0.01734156471970094
2000,3,t3,conf_nonlin,0.8,500001,k2,0.2635913740597927
2000,3,t3,conf_nonlin,0.8,500001,hsic,0.0032479404834948704
2000,3,t3,conf_nonlin,0.8,500002,k1,0.02603678999340231
2000,3,t3,conf_nonlin,0.8,500002,k2,0.16346420591244956
2000,3,t3,conf_nonlin,0.8,500002,hsic,0.003108891336266252
2000,3,t3,conf_nonlin,0.8,500003,k1,0.016740028428199993
2000,3,t3,conf_nonlin,0.8,500003,k2,0.23859784277700977
2000,3,t3,conf_nonlin,0.8,500003,hsic,0.0018611346980772275
2000,3,t3,conf_nonlin,0.8,500004,k1,0.011894315355911234
2000,3,t3,conf_nonlin,0.8,500004,k2,0.15644268378523868
2000,3,t3,conf_nonlin,0.8,500004,hsic,0.002731938109032584
2000,3,t3,conf_nonlin,0.8,500005,k1,0.011913497133635542
2000,3,t3,conf_nonlin,0.8,500005,k2,0.2565525617718257
2000,3,t3,conf_nonlin,0.8,500005,hsic,0.001225188668169115
2000,3,t3,conf_nonlin,0.8,500006,k1,0.008107386067287115
2000,3,t3,conf_nonlin,0.8,500006,k2,0.13550039719159032
2000,3,t3,conf_nonlin,0.8,500006,hsic,0.003197226611336358
2000,3,t3,conf_nonlin,0.8,500007,k1,0.006428267092898121
2000,3,t3,conf_nonlin,0.8,500007,k2,0.1420402054249832
2000,3,t3,conf_nonlin,0.8,500007,hsic,0.0034750961537101653
2000,3,t3,conf_nonlin,0.8,500008,k1,0.026429905532460496
2000,3,t3,conf_nonlin,0.8,500008,k2,0.26081721321754886
2000,3,t3,conf_nonlin,0.8,500008,hsic,0.00019416755920323214
2000,3,t3,conf_nonlin,0.8,500009,k1,0.015632338183577343
2000,3,t3,conf_nonlin,0.8,500009,k2,0.32899499157192424
2000,3,t3,conf_nonlin,0.8,500009,hsic,0.003095670290456077
2000,3,t3,conf_nonlin,0.8,500010,k1,0.01192895469662092
2000,3,t3,conf_nonlin,0.8,500010,k2,0.24379254529688735
2000,3,t3,conf_nonlin,0.8,500010,hsic,0.004580946885170524
2000,3,t3,conf_nonlin,0.8,500011,k1,0.013653303255582228
2000,3,t3,conf_nonlin,0.8,500011,k2,0.206986043065666
2000,3,t3,conf_nonlin,0.8,500011,hsic,0.001342164839985505
2000,3,t3,conf_nonlin,0.8,500012,k1,0.009789879776903376
2000,3,t3,conf_nonlin,0.8,500012,k2,0.07665286457316915
2000,3,t3,conf_nonlin,0.8,500012,hsic,0.0016644453618613866
2000,3,t3,conf_nonlin,0.8,500013,k1,0.009392688547571693
