n,d,noise,kind,b,seed,method,stat_obs
8000,3,gauss,conf_nonlin,0.4,500000,k1,0.009111542408646645
8000,3,gauss,conf_nonlin,0.4,500000,k2,0.0760940687414186
8000,3,gauss,conf_nonlin,0.4,500000,hsic,0.005394913861177435
8000,3,gauss,conf_nonlin,0.4,500001,k1,0.008797824379658037
8000,3,gauss,conf_nonlin,0.4,500001,k2,0.05600402859958411
8000,3,gauss,conf_nonlin,0.4,500001,hsic,0.0051698058752923885
8000,3,gauss,conf_nonlin,0.4,500002,k1,0.006399628672486779
8000,3,gauss,conf_nonlin,0.4,500002,k2,0.07893834275831056
8000,3,gauss,conf_nonlin,0.4,500002,hsic,0.002141352644281791
8000,3,gauss,conf_nonlin,0.4,500003,k1,0.006721776591621986
8000,3,gauss,conf_nonlin,0.4,500003,k2,0.05227901435091036
8000,3,gauss,conf_nonlin,0.4,500003,hsic,0.0020082407444118448
8000,3,gauss,conf_nonlin,0.4,500004,k1,0.011003855543842533
8000,3,gauss,conf_nonlin,0.4,500004,k2,0.07912763921736196
8000,3,gauss,conf_nonlin,0.4,500004,hsic,0.003896280615120728
8000,3,gauss,conf_nonlin,0.4,500005,k1,0.005321880038784976
8000,3,gauss,conf_nonlin,0.4,500005,k2,0.05080065074701183
8000,3,gauss,conf_nonlin,0.4,500005,hsic,0.004746088131762919
8000,3,gauss,conf_nonlin,0.4,500006,k1,0.006243063742671584
8000,3,gauss,conf_nonlin,0.4,500006,k2,0.058325646349702526
8000,3,gauss,conf_nonlin,0.4,500006,hsic,0.004850516765207928
8000,3,gauss,conf_nonlin,0.4,500007,k1,0.005967865498211711
8000,3,gauss,conf_nonlin,0.4,500007,k2,0.0778052558171956
8000,3,gauss,conf_nonlin,0.4,500007,hsic,0.0026087398047673267
8000,3,gauss,conf_nonlin,0.4,500008,k1,0.008171096194692029
8000,3,gauss,conf_nonlin,0.4,500008,k2,0.062162956847407386
8000,3,gauss,conf_nonlin,0.4,500008,hsic,0.0045971515963797475
8000,3,gauss,conf_nonlin,0.4,500009,k1,0.010866968290586532
8000,3,gauss,conf_nonlin,0.4,500009,k2,0.07425884805232845
8000,3,gauss,conf_nonlin,0.4,500009,hsic,0.003459009660855657
8000,3,gauss,conf_nonlin,0.4,500010,k1,0.009753713146538612
8000,3,gauss,conf_nonlin,0.4,500010,k2,0.05243025304896151
8000,3,gauss,conf_nonlin,0.4,500010,hsic,0.0033725533412087686
8000,3,gauss,conf_nonlin,0.4,500011,k1,0.007181522887604319
8000,3,gauss,conf_nonlin,0.4,500011,k2,0.04495088914399952
8000,3,gauss,conf_nonlin,0.4,500011,hsic,0.005522038510711431
8000,3,gauss,conf_nonlin,0.4,500012,k1,0.005601510639569707
8000,3,gauss,conf_nonlin,0.4,500012,k2,0.28136294712668064
8000,3,gauss,conf_nonlin,0.4,500012,hsic,0.0053351170875772435
8000,3,gauss,conf_nonlin,0.4,500013,k1,0.010100043236245804
8000,3,gauss,conf_nonlin,0.4,500013,k2,0.16359612712511096
8000,3,gauss,conf_nonlin,0.4,500013,hsic,0.004747868049998699
8000,3,gauss,conf_nonlin,0.4,500014,k1,0.007946090048139176
8000,3,gauss,conf_nonlin,0.4,500014,k2,0.053270299673350174
8000,3,gauss,conf_nonlin,0.4,500014,hsic,0.004755888121978077
8000,3,gauss,conf_nonlin,0.4,500015,k1,0.003354720831353686
8000,3,gauss,conf_nonlin,0.4,500015,k2,0.036918213266335514
8000,3,gauss,conf_nonlin,0.4,500015,hsic,0.0025887773085762115
8000,3,gauss,conf_nonlin,0.4,500016,k1,0.007361495116367522
8000,3,gauss,conf_nonlin,0.4,500016,k2,0.06206940333555518
8000,3,gauss,conf_nonlin,0.4,500016,hsic,0.0043457806353582405
8000,3,gauss,conf_nonlin,0.4,500017,k1,0.009704226261866844
8000,3,gauss,conf_nonlin,0.4,500017,k2,0.054331188581968524
8000,3,gauss,conf_nonlin,0.4,500017,hsic,0.005872464019126992
8000,3,gauss,conf_nonlin,0.4,500018,k1,0.008666453833898746
8000,3,gauss,conf_nonlin,0.4,500018,k2,0.14852766292499384
8000,3,gauss,conf_nonlin,0.4,500018,hsic,0.0033582008622367984
8000,3,gauss,conf_nonlin,0.4,500019,k1,0.0077010514033335475
8000,3,gauss,conf_nonlin,0.4,500019,k2,0.1035480046117679
8000,3,gauss,conf_nonlin,0.4,500019,hsic,0.004718693020076365
8000,3,gauss,conf_nonlin,0.4,500020,k1,0.006639530190419185
8000,3,gauss,conf_nonlin,0.4,500020,k2,0.07646113053454741
8000,3,gauss,conf_nonlin,0.4,500020,hsic,0.004461397072122614
8000,3,gauss,conf_nonlin,0.4,500021,k1,0.008626503785443607
8000,3,gauss,conf_nonlin,0.4,500021,k2,0.05239786086483758
8000,3,gauss,conf_nonlin,0.4,500021,hsic,0.0035294163040260735
8000,3,gauss,conf_nonlin,0.4,500022,k1,0.006687237178774175
8000,3,gauss,conf_nonlin,0.4,500022,k2,0.056720527809945256
8000,3,gauss,conf_nonlin,0.4,500022,hsic,0.0039834130519678075
8000,3,gauss,conf_nonlin,0.4,500023,k1,0.010905957813897582
