cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A1_two_null_mixture,none,2000,900000,,kl_plugin,none,6.438729977838788e-17
2-2-5,A1_two_null_mixture,none,2000,900000,,kl_split,none,0.002186907962726907
2-2-5,A1_two_null_mixture,none,2000,900000,,kl_crossfit,none,0.0021843372902371656
2-2-5,A1_two_null_mixture,none,2000,900000,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900000,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900000,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900000,,gtest,none,2682.0149966429863
2-2-5,A1_two_null_mixture,none,2000,900001,,kl_plugin,none,6.205503175008833e-06
2-2-5,A1_two_null_mixture,none,2000,900001,,kl_split,none,0.003219177310996732
2-2-5,A1_two_null_mixture,none,2000,900001,,kl_crossfit,none,0.0031585647153943245
2-2-5,A1_two_null_mixture,none,2000,900001,,cf1_margin,none,0.002491081926702332
2-2-5,A1_two_null_mixture,none,2000,900001,,slack_plugin,none,0.004982163853404775
2-2-5,A1_two_null_mixture,none,2000,900001,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900001,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900002,,kl_plugin,none,3.589290358125702e-12
2-2-5,A1_two_null_mixture,none,2000,900002,,kl_split,none,0.018227230463923196
2-2-5,A1_two_null_mixture,none,2000,900002,,kl_crossfit,none,0.01532631529479646
2-2-5,A1_two_null_mixture,none,2000,900002,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900002,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900002,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900002,,gtest,none,2650.305448438615
2-2-5,A1_two_null_mixture,none,2000,900003,,kl_plugin,none,3.1177365357921503e-17
2-2-5,A1_two_null_mixture,none,2000,900003,,kl_split,none,0.0008733340216996871
2-2-5,A1_two_null_mixture,none,2000,900003,,kl_crossfit,none,0.0008737244076301859
2-2-5,A1_two_null_mixture,none,2000,900003,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900003,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900003,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900003,,gtest,none,2772.588722239781
2-2-5,A1_two_null_mixture,none,2000,900004,,kl_plugin,none,5.800790465995008e-17
2-2-5,A1_two_null_mixture,none,2000,900004,,kl_split,none,0.003483788995121747
2-2-5,A1_two_null_mixture,none,2000,900004,,kl_crossfit,none,0.003484905374223737
2-2-5,A1_two_null_mixture,none,2000,900004,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900004,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900004,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900004,,gtest,none,1302.7086373996767
2-2-5,A1_two_null_mixture,none,2000,900005,,kl_plugin,none,6.135776392272397e-15
2-2-5,A1_two_null_mixture,none,2000,900005,,kl_split,none,0.00210635956304802
2-2-5,A1_two_null_mixture,none,2000,900005,,kl_crossfit,none,0.0020919871564131273
2-2-5,A1_two_null_mixture,none,2000,900005,,cf1_margin,none,1.1102230246251565e-16
2-2-5,A1_two_null_mixture,none,2000,900005,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900005,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900005,,gtest,none,2732.124088193744
2-2-5,A1_two_null_mixture,none,2000,900006,,kl_plugin,none,0.0006868463493865367
2-2-5,A1_two_null_mixture,none,2000,900006,,kl_split,none,0.006737322536246773
2-2-5,A1_two_null_mixture,none,2000,900006,,kl_crossfit,none,0.005368199530085039
2-2-5,A1_two_null_mixture,none,2000,900006,,cf1_margin,none,0.026202704119065112
2-2-5,A1_two_null_mixture,none,2000,900006,,slack_plugin,none,0.05240540823813006
2-2-5,A1_two_null_mixture,none,2000,900006,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900006,,gtest,none,2695.2570739792513
2-2-5,A1_two_null_mixture,none,2000,900007,,kl_plugin,none,1.7212277099543717e-16
2-2-5,A1_two_null_mixture,none,2000,900007,,kl_split,none,0.007044413774395819
2-2-5,A1_two_null_mixture,none,2000,900007,,kl_crossfit,none,0.0069926157288876314
2-2-5,A1_two_null_mixture,none,2000,900007,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900007,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900007,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900007,,gtest,none,2755.2657005055585
2-2-5,A1_two_null_mixture,none,2000,900008,,kl_plugin,none,2.428136900872655e-12
2-2-5,A1_two_null_mixture,none,2000,900008,,kl_split,none,0.0014544008988600608
2-2-5,A1_two_null_mixture,none,2000,900008,,kl_crossfit,none,0.0012685307821511775
2-2-5,A1_two_null_mixture,none,2000,900008,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900008,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900008,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900008,,gtest,none,304.3988890955468
2-2-5,A1_two_null_mixture,none,2000,900009,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,kl_split,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,kl_crossfit,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_plugin,none,1.4560937969887357e-05
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_split,none,0.0002827028180681663
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_crossfit,none,0.0005694818555358194
2-2-5,A1_two_null_mixture,none,2000,900010,,cf1_margin,none,0.0029427170695246474
