cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,kl_split,none,0.006753777441126235
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,kl_crossfit,none,0.006744349552365605
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900000,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,kl_split,none,0.006807843310825477
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,kl_crossfit,none,0.006826704961900448
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900001,,gtest,none,621.6386581110683
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,kl_plugin,none,0.0006177481593930886
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,kl_split,none,0.00530979210260556
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,kl_crossfit,none,0.0032904937660217185
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,cf1_margin,none,0.024850785167348177
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,slack_plugin,none,0.049701570334696354
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900002,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,kl_plugin,none,0.011522053992629323
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,kl_split,none,0.0627460425367608
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,kl_crossfit,none,0.04928447888350207
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,cf1_margin,none,0.10676691729323307
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,slack_plugin,none,0.21353383458646613
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900003,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,kl_plugin,none,5.51175647960549e-05
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,kl_split,none,0.001752517168169862
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,kl_crossfit,none,0.001571366466609797
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,cf1_margin,none,0.007423071176857143
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,slack_plugin,none,0.014846142353714287
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900004,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,kl_split,none,0.0009681252470387161
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,kl_crossfit,none,0.00096829576318779
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900005,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,kl_split,none,0.0008001995517137456
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,kl_crossfit,none,0.0008001355163667258
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900006,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900007,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,kl_plugin,none,5.519095056867585e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,kl_split,none,0.0003706234497946525
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,kl_crossfit,none,0.00037056801360434806
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900008,,gtest,none,384.9013454822262
