cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,kl_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,kl_split,none,0.1250079192698296
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,kl_crossfit,none,0.12337949798366663
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,cf1_margin,none,1.1102230246251565e-16
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,slack_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,gm_battery,none,0.0
2-2-5,none,mixture,0.2,500,800000,0.016066603995568585,gtest,none,66.60957185668552
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,kl_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,kl_split,none,0.16518723303398822
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,kl_crossfit,none,0.17889075737682097
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,cf1_margin,none,2.220446049250313e-16
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,slack_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,gm_battery,none,0.0
2-2-5,none,mixture,0.2,500,800001,0.008330860000569373,gtest,none,79.66354129310525
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,kl_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,kl_split,none,0.1719429202134462
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,kl_crossfit,none,0.34994528175909034
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,cf1_margin,none,0.0
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,slack_plugin,none,0.0
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,gm_battery,none,0.0
2-2-5,none,mixture,0.2,500,800002,0.004990925001038704,gtest,none,69.07496819264661
2-2-5,none,mixture,0.2,500,800003,0.006025213995599188,kl_plugin,none,1.982134855430052e-17
2-2-5,none,mixture,0.2,500,800003,0.006025213995599188,kl_split,none,0.18131458592639424
2-2-5,none,mixture,0.2,500,800003,0.006025213995599188,kl_crossfit,none,0.1825097512042242
2-2-5,none,mixture,0.2,500,800003,0.006025213995599188,cf1_margin,none,0.0
2-2-5,none,mixture,0.2,500,800003,0.006025213995599188,slack_plugin,none,0.0
