block,cfg,noise,n,d,b,seed,method,detrend,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
adversarial,B1_selection_trunc,gauss,5000,2,,900000,k1,linear,0.05,99,0.006022223632045187,0.0182688298868956,0.015618629716339538,0.01397712763813308,0.012060501700263071,0.011845846534794369,0.011364908359198456,0.011333179931411586,0.011292475754417497,0.011240125624804365,0.011209328546455954,0.010842154182437835,0.010781517310701538,0.01076910196386216,0.010730295521163224,0.01040423294232451,0.009992068786907393,0.00998674636447583,0.009931734120008917,0.009639994538466867,0.009543632381318279
adversarial,B1_selection_trunc,gauss,5000,2,,900000,k2,linear,0.05,99,0.08829929219859693,0.18002331099450014,0.16616998538526123,0.15172155337519244,0.14520592686253822,0.12729560805202633,0.11939807844238225,0.11621780058615415,0.11593003440656308,0.1156527632378624,0.11501459881720545,0.11422521408402818,0.1135144326539185,0.11344242359006328,0.10873667352563927,0.10770561157600986,0.1068921911541886,0.10428014582852238,0.10338615414567379,0.10129004254127824,0.10127345879920545
adversarial,B1_selection_trunc,gauss,5000,2,,900000,k1,quadratic,0.05,99,0.005896183082707784,0.013707617213238321,0.013647741762266796,0.012011403758475314,0.011164586675935784,0.010998749030041277,0.01057720781253324,0.010535924023808318,0.01052499556131381,0.01020300486260406,0.01011820280686171,0.009674625675174298,0.009480083488935032,0.009409444168294923,0.00927883577959443,0.009201711973117366,0.009090285667283426,0.009060099545873501,0.00905628091915045,0.00896764709521225,0.008961006355477141
adversarial,B1_selection_trunc,gauss,5000,2,,900000,k2,quadratic,0.05,99,0.08616210144493784,0.18018780147272703,0.17548302292973436,0.14996255296875366,0.14498538626978602,0.14435905044931063,0.12882222630663803,0.11161764010115222,0.10902204340847174,0.10868997294913219,0.10820519817864291,0.10781330896691652,0.10694927820463918,0.10352628397727022,0.10277253645014922,0.10248407989945447,0.10141804896530836,0.09974646494901082,0.09965047848910535,0.0993237237710741,0.09873141397909539
adversarial,B1_selection_trunc,gauss,5000,2,,900001,k1,linear,0.05,99,0.002546670569068432,0.014961489103914705,0.013627054002906092,0.013314867673522746,0.012756729957294488,0.012328523479072317,0.01186590202092419,0.011795274131314204,0.01160685680351703,0.011398164955663814,0.01132554392907914,0.010864267688519669,0.010710111882101803,0.010549455832766452,0.010188111927448174,0.010163999423977721,0.010153075775336307,0.010104411371855915,0.010080693507576566,0.009968030782625315,0.009919466842520208
adversarial,B1_selection_trunc,gauss,5000,2,,900001,k2,linear,0.05,99,0.05641265267089994,0.17919052737319505,0.1673361368783,0.16112457624546345,0.13810483397102966,0.13758608410226728,0.1326121899278565,0.12899820322275546,0.12549485772302868,0.12192901782521588,0.11908068051837657,0.1148818470548943,0.11446731623911267,0.11427513550975194,0.11395655178791253,0.11128853450115012,0.11105683618032994,0.11058897409925354,0.10888898466145815,0.1066982899181032,0.10373856657751358
adversarial,B1_selection_trunc,gauss,5000,2,,900001,k1,quadratic,0.05,99,0.0026045308656565958,0.01457178121277003,0.013449236422059085,0.012939866904922215,0.012910182365650336,0.01245633747390995,0.012297398084526012,0.012147472101691537,0.011489983494459954,0.010889710804429353,0.010796230980253063,0.010481269050037878,0.010429417302112554,0.010287310456248755,0.010241393830610845,0.010095363302015326,0.01007944165451069,0.010039255965960892,0.00990678455770544,0.009868757157883379,0.009806045673262487
adversarial,B1_selection_trunc,gauss,5000,2,,900001,k2,quadratic,0.05,99,0.053329843040562375,0.20988550521836555,0.16882458038849335,0.14743522012829924,0.14207693256592333,0.13425040054595427,0.1323315485293376,0.13194588862311604,0.131348651811222,0.12906506741873067,0.12682731987553383,0.12463991008156515,0.12164190504196679,0.12005250257675174,0.11238494944678401,0.11235840817068835,0.10544956851416316,0.10494331489214061,0.1037146824885529,0.10282197956433366,0.10154534000380112
adversarial,B1_selection_trunc,gauss,5000,2,,900002,k1,linear,0.05,99,0.002557687402031994,0.015321804074138634,0.013810723808224568,0.011469825093108788,0.011098095243597172,0.011091351347756961,0.01090972461257711,0.010711703813819584,0.010352030781361488,0.01023638484094358,0.010020384688442241,0.010013691664885527,0.009879640594625427,0.009698180244713694,0.009553476387381243,0.009514284241498028,0.009450771013645332,0.009384918067130155,0.008976898874927253,0.008948702970880906,0.008869600986686765
adversarial,B1_selection_trunc,gauss,5000,2,,900002,k2,linear,0.05,99,0.05955793501864204,0.18364127613707382,0.1703108491167578,0.1653955441129981,0.1606262994794949,0.1469136104026389,0.14282400797939918,0.14025866664836847,0.13805108139437888,0.13768078815580523,0.12548710805431643,0.1239131224091403,0.12210349661789675,0.12194961244530346,0.11901595924641276,0.1179357815219759,0.11524490259072172,0.11169815722322071,0.11019582707115617,0.10949189618441568,0.10833470380430019
adversarial,B1_selection_trunc,gauss,5000,2,,900002,k1,quadratic,0.05,99,0.002528736670602827,0.01661190043372185,0.011228073985323883,0.011194511749945235,0.010936777210911353,0.010875644330049505,0.010857263846841936,0.010853819553445998,0.010682348950923237,0.010562565048285566,0.010492556897216176,0.010377906826634087,0.010334356770652309,0.0103155733335496,0.010241065515660619,0.010167070213922491,0.010166346847540364,0.010054153386019338,0.010022966602289962,0.010002810015765307,0.009856067334876095
adversarial,B1_selection_trunc,gauss,5000,2,,900002,k2,quadratic,0.05,99,0.05912065515827802,0.2188303546466122,0.1842203738747671,0.16222281828037094,0.1570201369818236,0.15286719016991795,0.15144784099266778,0.1473799749654523,0.13898788379579638,0.13726010591727195,0.13204800655601326,0.13110700133930087,0.1307131477258906,0.12975923850455787,0.12530576260543727,0.11945735143937058,0.11551519889113669,0.10893629673270591,0.10830917511067563,0.10664661832536505,0.10564932920324988
adversarial,B1_selection_trunc,gauss,5000,2,,900003,k1,linear,0.05,99,0.004314817913004587,0.016518515019207425,0.013219890914857313,0.013129471886078381,0.012840458551970135,0.011988780108318497,0.011689938213788498,0.011643545543508549,0.01141784602421858,0.011199721882959257,0.01109399720115356,0.010751005466663521,0.010549128004685437,0.010153553959766581,0.009950170395877977,0.009879241055640864,0.0098197902944972,0.009786453711222998,0.009747560662735744,0.009698002787167814,0.009588909690460778
adversarial,B1_selection_trunc,gauss,5000,2,,900003,k2,linear,0.05,99,0.0874449310226208,0.2954829418039782,0.2680310104708488,0.2231899921692564,0.21541472422171046,0.21507747966276342,0.1719133575027629,0.16555328524172172,0.16154074008145777,0.1419232435556092,0.1409639346055314,0.1393680142623716,0.13759798454852748,0.13385261963226353,0.1326781385307723,0.1294888647436424,0.12785401181751618,0.1245562653405994,0.1229784218006168,0.122297413850995,0.1213662599380553
adversarial,B1_selection_trunc,gauss,5000,2,,900003,k1,quadratic,0.05,99,0.004236128565957231,0.019637599244375137,0.014989117235063576,0.014813648570645155,0.014506246536567624,0.012253930625333309,0.01165132730081131,0.011043050619631178,0.010604454773814886,0.010576685985483447,0.010501875828095142,0.010393491289753976,0.010326750789008465,0.009996169058234305,0.009923084966213969,0.009679561116364144,0.009676242473638741,0.00946620502690032,0.009135412757677486,0.008995588368862606,0.00890724060643655
adversarial,B1_selection_trunc,gauss,5000,2,,900003,k2,quadratic,0.05,99,0.09518795046997797,0.25591484095473904,0.23786290785186406,0.1774571769090981,0.17558081948928367,0.15215181424668478,0.1519128566632436,0.15134000799092967,0.15007809784269535,0.13606290148240086,0.13218234169917564,0.13057628334512447,0.12869913027807497,0.12685521856486479,0.12651674299525803,0.12622254775801284,0.12481904066250546,0.12466610302489026,0.12371850669287099,0.12029483943567891,0.11911507296186369
adversarial,B1_selection_trunc,gauss,5000,2,,900004,k1,linear,0.05,99,0.0024673324835629007,0.01816581533094186,0.015506752617622133,0.01317561234661857,0.012573765481150745,0.012437841727022891,0.01140924973892754,0.011190923307003442,0.010768088934259623,0.010351426827220567,0.010229734807015167,0.009872795944022683,0.009862651847782566,0.009840942625704008,0.009788227316194997,0.009710808739196497,0.009590949643662361,0.009449177582956603,0.009436977255631529,0.009366197093419237,0.009352385887345438
adversarial,B1_selection_trunc,gauss,5000,2,,900004,k2,linear,0.05,99,0.06314094049811125,0.23668325944631532,0.19858959709042678,0.19776671847791283,0.15809841204960096,0.14596455629056931,0.1408015146897426,0.1314309498428296,0.13001584091813906,0.12696684095928892,0.12577107936443285,0.12215001230121261,0.11555609798030131,0.11412954420077198,0.11387607956895673,0.11277857072648885,0.11150422604968949,0.10531473386402933,0.1051944901994201,0.10494719008184042,0.10340641752659156
adversarial,B1_selection_trunc,gauss,5000,2,,900004,k1,quadratic,0.05,99,0.002403828401831176,0.013036070783978393,0.011915804745813996,0.011772940659515063,0.011699002608422493,0.01136493382431969,0.01110653932126715,0.01101267412321616,0.010794534790784627,0.010735262642196597,0.010554092942082871,0.010539915715890191,0.010458858512532698,0.010301204206114578,0.010094397571280167,0.01006439326276487,0.009927852214634214,0.009901142871946655,0.009646449371249699,0.009624815422009325,0.009594014492168457
adversarial,B1_selection_trunc,gauss,5000,2,,900004,k2,quadratic,0.05,99,0.06809729302111774,0.24665419244053036,0.2054046397157693,0.19172050716043393,0.16455825695289011,0.16348339446124693,0.16195877741229006,0.15939273138611412,0.1523510079354868,0.1464859591529588,0.14606781191789858,0.12970683614863135,0.12298541022662544,0.12234086995832498,0.12225874646203741,0.11731916945407804,0.1133795112741954,0.11251856118719528,0.11176841135283462,0.11089357590811005,0.11044439430557842
adversarial,B1_selection_trunc,gauss,5000,2,,900005,k1,linear,0.05,99,0.0054622762659203294,0.016046685776776815,0.015375410668507117,0.01351110876106576,0.01209419476400897,0.011983295786685999,0.011949205290830656,0.011089363890110393,0.010679635619920136,0.010650754194541423,0.010618671933727342,0.010327646558045855,0.01019253180778934,0.010174868097448608,0.01014321769263793,0.01004177321988331,0.009780367905287357,0.009683680910079095,0.009548030188839762,0.009497700315510449,0.009463337138532313
