block,cfg,noise,n,d,b,seed,method,detrend,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
adversarial,B2_mixture_x,t3,5000,2,,900000,k1,linear,0.05,99,0.006680524350915484,0.014712630119198766,0.013310507872900668,0.011428282860295735,0.01038280375668199,0.01024265297689364,0.010148872160601341,0.009981601815864716,0.009593389993686863,0.009554266342402196,0.009540246565884147,0.009539381964711935,0.009211733326542682,0.00904968505340098,0.008945206110187343,0.008530375899029274,0.008406495784218482,0.008286981846941877,0.008234783480650654,0.008150014844458764,0.008137313336408769
adversarial,B2_mixture_x,t3,5000,2,,900000,k2,linear,0.05,99,0.2762915228891259,0.2755216869716229,0.22406677027369792,0.22147345047691078,0.20323502165094506,0.1978095800089229,0.19561617050040794,0.18875135911776325,0.18224276528043692,0.18058130553467244,0.17667175307546695,0.16897975445021038,0.16822176540675848,0.16566337128473663,0.16032686936210472,0.1599073979440095,0.15854503400156256,0.15782895225600554,0.15463061223904642,0.15401019925806508,0.1503346617473307
adversarial,B2_mixture_x,t3,5000,2,,900000,k1,quadratic,0.05,99,0.006497258576754095,0.015009684222767827,0.01389011118604111,0.011934208987279149,0.011785846332732386,0.011005119148705944,0.010434555733592976,0.010403806345251954,0.010265707558980264,0.010146222530767357,0.009903953131681575,0.009598235723170756,0.009390410808846505,0.009228228180486298,0.009151371128099939,0.008860907426108677,0.008838313019272515,0.008836381435674112,0.008650316451671802,0.00862494365796529,0.008490575084553864
adversarial,B2_mixture_x,t3,5000,2,,900000,k2,quadratic,0.05,99,0.2641159090784888,0.2697740485798572,0.2282666604500578,0.2107632185199033,0.20221972202502067,0.20175623127595893,0.1960816780039244,0.19420388951562761,0.19286522539967998,0.18447452036765916,0.17877436500067623,0.1772952637417388,0.17725970844861963,0.16861814631061461,0.16635493720968594,0.16592038510273657,0.1643584544853229,0.16234706179044758,0.16173075119296146,0.1595677202139321,0.1544149574119267
adversarial,B2_mixture_x,t3,5000,2,,900001,k1,linear,0.05,99,0.00461528126209354,0.014308418580139426,0.01318776839858582,0.013141221266967373,0.012304182799663499,0.01148689409300685,0.011379364845450768,0.011189565932647638,0.011021257036288201,0.011005387391563537,0.010913596186774344,0.010279026455876306,0.010192173878165067,0.009967775812239732,0.009889739146488497,0.009737732493373397,0.009664927380479638,0.009526450923055596,0.009304385949048699,0.009293193117413279,0.009282184088319823
adversarial,B2_mixture_x,t3,5000,2,,900001,k2,linear,0.05,99,0.09777292171100627,0.25632912175107664,0.2486479966138033,0.2172567673874275,0.21220062003724222,0.2047987226132102,0.18749523192541115,0.15576240059269286,0.15425195871580083,0.15305269031520172,0.14428310328936694,0.14033312772120055,0.13494657957339778,0.13306967394370672,0.13303322471371698,0.13128611924647163,0.13000606555834468,0.12930279688691443,0.12402930497115744,0.12358347075816191,0.12042882924872178
adversarial,B2_mixture_x,t3,5000,2,,900001,k1,quadratic,0.05,99,0.004791757118457696,0.018892363429463765,0.013178353994384717,0.013170739629280614,0.012842228296038094,0.012814335210891925,0.011689367028014042,0.011584890056791752,0.01112811541828096,0.011061599289342361,0.010882542845044085,0.010810340020768416,0.01077689993764186,0.010735085661084165,0.010231352112913816,0.009928365938673522,0.00964490443374133,0.009625195236744988,0.009481429192106039,0.009442272476921088,0.009410068400144356
adversarial,B2_mixture_x,t3,5000,2,,900001,k2,quadratic,0.05,99,0.09727571664149859,0.3108032000826972,0.29929458461039793,0.20438487775476255,0.19610993121435444,0.18808824986023157,0.17938041399855514,0.1781995567767193,0.1657467391432765,0.16267676955656274,0.15961196591839175,0.15883849392404814,0.14811837859040095,0.14745666706705643,0.14601449026913693,0.14087257191860583,0.14042629892794747,0.13543282791173078,0.13174879479513726,0.1313383335426221,0.1306069097818036
adversarial,B2_mixture_x,t3,5000,2,,900002,k1,linear,0.05,99,0.004459804683882407,0.014782659330254022,0.014115106431169977,0.013668763055800115,0.013211133287253207,0.013132327553194934,0.012672626620625294,0.011665247257254818,0.01149012944742911,0.011417684472576517,0.011142099590040977,0.010888115821463984,0.010710762877252478,0.010523954048181738,0.010294076763170845,0.010163019051668831,0.010083261051944237,0.010065407256271142,0.009697642750981172,0.009431660774092632,0.009256628227769625
adversarial,B2_mixture_x,t3,5000,2,,900002,k2,linear,0.05,99,0.1139066777789789,0.3014436428925597,0.24310278341388342,0.2353777996553567,0.22754058551207215,0.22402552235551276,0.2237774026046197,0.1866812048275703,0.18471550502308037,0.1828000478449194,0.17784701767779,0.17705157104044456,0.16676358993084053,0.1643036988749675,0.15947111357179178,0.1593277129347585,0.15715976788626476,0.15680783186857047,0.1557397586226543,0.1517598584521537,0.1459943170822073
