cell,kind,tail,n,seed,arm,feas_contam,stat,engine,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-4,u_on_x,t3,500,700000,clean,,kl_plugin,para_boot,99,8.379041695284198e-18,1.0289871935550232e-16,8.163404592832034e-17,7.836868409118751e-17,7.686159401251084e-17,7.682111923946581e-17,7.510332225405471e-17,7.316216245225688e-17,7.01193489236941e-17,6.986748344623831e-17,6.886944965589207e-17,6.735002234692892e-17,6.702268028843111e-17,6.63049861928913e-17,6.547469119584257e-17,6.317587085733108e-17,6.26144739006605e-17,6.191628406563373e-17,6.178228547077232e-17,6.125368411725002e-17,6.098408163433959e-17
2-2-4,u_on_x,t3,500,700000,clean,,kl_split,para_boot,99,0.0007134367805980389,0.05401537210685273,0.03886078865567573,0.03589106198724097,0.03545081220120072,0.03242755346823811,0.02951978831596451,0.027515941152500056,0.025258543354777105,0.02513609739844093,0.024937762061219018,0.021476397121500596,0.0199010802703537,0.01948048805514374,0.017755208821735036,0.01656931728210713,0.016027751875189844,0.015328463681861887,0.015278897181460693,0.015213394515554868,0.015025160124282996
2-2-4,u_on_x,t3,500,700000,clean,,kl_crossfit,para_boot,99,0.0007130977106052493,0.05306353739282124,0.03880591937693307,0.035798642606093924,0.035450812201200665,0.032203410606027175,0.02942399341691121,0.027648544211435547,0.025302437901022046,0.025237517563747765,0.02478585410821687,0.021455096275000092,0.019832494043085555,0.019661836510803506,0.01773605360066713,0.016624839952904667,0.01591749513680707,0.015459595031231468,0.015374841717824175,0.01527518169026431,0.015016774584450762
2-2-4,u_on_x,t3,500,700000,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700000,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700000,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700000,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700000,clean,,kl_plugin,crt_cond,99,8.379041695284198e-18,1.0578540140296303e-16,1.0578540140296303e-16,1.0578540140296303e-16,1.0578540140296303e-16,1.0578540140296303e-16,9.950112013149988e-17,8.693255758857357e-17,8.221934663497623e-17,8.221934663497623e-17,7.750613568137885e-17,7.750613568137885e-17,7.279292472778149e-17,7.279292472778149e-17,7.279292472778149e-17,7.279292472778149e-17,7.279292472778149e-17,7.279292472778149e-17,6.965078409204993e-17,6.965078409204993e-17,6.493757313845255e-17
2-2-4,u_on_x,t3,500,700000,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700000,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700001,clean,,kl_plugin,para_boot,99,5.0812715233627854e-17,1.487087721057549e-16,1.3817636405551486e-16,1.3732604796901937e-16,1.1068688765145065e-16,1.0802169969325848e-16,1.0680626566014164e-16,1.057017448365165e-16,9.60894781546919e-17,9.575673587391976e-17,9.536084913708242e-17,9.388923109484348e-17,9.251858538542972e-17,9.093255249310806e-17,6.264581330173298e-17,6.04929212135502e-17,6.026924990822279e-17,5.928375374212001e-17,5.76325965012422e-17,5.655853144316835e-17,5.551115123125783e-17
2-2-4,u_on_x,t3,500,700001,clean,,kl_split,para_boot,99,0.00047874295667564223,0.04444677966190111,0.03909473773523102,0.0375051072296923,0.035962572261945366,0.03444765352010358,0.031651649122845696,0.02904025120425957,0.023803368927138177,0.022161293617874472,0.019941206569231998,0.012859439153729918,0.011598129044548974,0.011432157627484535,0.011016572135169655,0.010773365936885687,0.010726398692369063,0.009965320595745217,0.008884162725334044,0.008850955624045094,0.00848877968154188
2-2-4,u_on_x,t3,500,700001,clean,,kl_crossfit,para_boot,99,0.000478324225884166,0.04470335916472011,0.03830446947523987,0.03770089079036477,0.03600412285740505,0.03418942185692007,0.03127448711520432,0.028776287965804198,0.023648121242593183,0.02238175800215788,0.01979243617645863,0.012945678302652606,0.011575727066079691,0.011434037953338881,0.010965808668911767,0.010798717811249033,0.010660777610338366,0.010032600756260522,0.008936019477365685,0.008803067562578714,0.00845800306453786
2-2-4,u_on_x,t3,500,700001,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700001,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700001,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700001,clean,,gtest,para_boot,99,603.9327503846453,641.0354778811557,636.97526674802,634.1786357122057,634.1786357122057,634.1786357122057,629.8478604603786,629.8478604603786,629.8478604603786,628.3678200932493,626.8694575724264,625.3527126087997,623.8175238348483,623.8175238348483,622.2638287869881,620.6915638874382,620.6915638874382,620.6915638874382,620.6915638874382,620.6915638874382,620.6915638874382
2-2-4,u_on_x,t3,500,700001,clean,,kl_plugin,crt_cond,99,5.0812715233627854e-17,9.536084913708242e-17,9.536084913708242e-17,9.536084913708242e-17,9.536084913708242e-17,8.213562188449434e-17,6.264581330173298e-17,6.264581330173298e-17,6.264581330173298e-17,5.672926426768041e-17,5.603319967543894e-17,5.429303819483524e-17,5.429303819483524e-17,5.429303819483524e-17,5.429303819483524e-17,5.429303819483524e-17,5.255287671423155e-17,5.255287671423155e-17,5.1160747529748595e-17,5.1160747529748595e-17,5.1160747529748595e-17
2-2-4,u_on_x,t3,500,700001,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700001,clean,,gtest,crt_cond,99,603.9327503846453,636.97526674802,632.7532106005815,631.3096379016954,626.8694575724264,626.8694575724264,625.3527126087997,625.3527126087997,625.3527126087997,623.8175238348483,622.2638287869881,620.6915638874382,620.6915638874382,620.6915638874382,620.6915638874382,620.6915638874382,619.100664425587,619.100664425587,619.100664425587,617.4910645388488,617.4910645388488
2-2-4,u_on_x,t3,500,700002,clean,,kl_plugin,para_boot,99,0.0,1.6485129759585658e-16,1.5321077739827162e-16,1.1046995269902055e-16,1.0854289620404756e-16,1.0532189084463588e-16,1.0373295937154241e-16,1.0292692624129056e-16,1.0123444204390596e-16,9.945747928933694e-17,7.401486830834378e-17,6.409534987526678e-17,6.048229910271377e-17,5.9286468821293e-17,5.9286468821293e-17,5.633557426934582e-17,5.593063096348396e-17,5.551115123125783e-17,5.5089547551020424e-17,5.5083044666492344e-17,5.493887132165723e-17
2-2-4,u_on_x,t3,500,700002,clean,,kl_split,para_boot,99,0.0006157740719025598,0.05327427777571306,0.0401761474340914,0.038497493755795545,0.024078752918621854,0.02252971952520158,0.021743645255734842,0.021398832392807488,0.02004482680934723,0.017410382754143708,0.014621406147936528,0.013573469241906042,0.013449319721041228,0.012523198326758425,0.012367700474702842,0.01236020582608266,0.011426738448871529,0.010697808211596771,0.01067169661984363,0.010597698996521937,0.010011933074365181
2-2-4,u_on_x,t3,500,700002,clean,,kl_crossfit,para_boot,99,0.0006160463481396771,0.05324432257436694,0.04037229117272888,0.03881971704028499,0.02386942767995405,0.02267014607304179,0.021624935650126992,0.021570111022673005,0.02014115136673307,0.01729354382037282,0.014655228449956675,0.013655345405201705,0.013466003158429503,0.012487344350416839,0.012392652587366465,0.012319230470670663,0.011403549633012329,0.010710040779672608,0.010646387633249273,0.01057326883083394,0.010016723710329557
2-2-4,u_on_x,t3,500,700002,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
