cell,kind,tail,n,seed,arm,feas_contam,stat,engine,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-4,u_on_y,t3,2000,700000,clean,,kl_plugin,para_boot,99,0.000316948673289949,0.003796686728738549,0.002506997482263837,0.001970793793862058,0.001906495394614089,0.0018797739538943745,0.0018149524183622076,0.001712029852081156,0.0015333793136975034,0.0014381871370877028,0.0014357756512882423,0.0012528670446415695,0.0011487613709485651,0.0011255862951061561,0.0010770121291225378,0.001059628371653236,0.0009481140380828527,0.0009340744162607672,0.0009230830213318997,0.0008146054928478974,0.0007921055209972657
2-2-4,u_on_y,t3,2000,700000,clean,,kl_split,para_boot,99,0.0019005014375016172,0.01992438764435378,0.0178735266910669,0.01187095813388632,0.010757748994740926,0.008679281270302208,0.008331804332251325,0.007354228839315677,0.007315170000547391,0.007042704736101801,0.006983939243418058,0.00660570462536509,0.005840134557603099,0.005561643200847802,0.005200128954401237,0.0051551830511439994,0.004923535452459993,0.00488984508696063,0.004751697222468182,0.004640210742899539,0.004510602972081695
2-2-4,u_on_y,t3,2000,700000,clean,,kl_crossfit,para_boot,99,0.0016462582978772622,0.01738299743608504,0.017074073599312865,0.011466718186336572,0.008508530920483301,0.007724833136093033,0.007481537872230354,0.007422559563854958,0.0067992752125545855,0.006781277384775894,0.006580399597972488,0.00577063035256235,0.005483405417506235,0.005453637310617383,0.00508116299310446,0.004991289209070694,0.004770185280720117,0.004630009671776278,0.004401891731008977,0.0042802733319470265,0.004247219815161227
2-2-4,u_on_y,t3,2000,700000,clean,,cf1_margin,para_boot,99,0.017789653298487584,0.061556198854593513,0.049977641851172594,0.04438624883935893,0.043628396341419684,0.04328903133333539,0.04253533582499158,0.041313970645336706,0.039150592996746836,0.0378891313404639,0.037884064107244986,0.03539100756788838,0.03382490062325172,0.033507213098387556,0.03277578377212409,0.03251931840697453,0.030752316923656542,0.03056008969349233,0.030354712277997353,0.02852315888127066,0.02812718162252814
2-2-4,u_on_y,t3,2000,700000,clean,,slack_plugin,para_boot,99,0.03557930659697506,0.12311239770918703,0.09995528370234535,0.08877249767871787,0.08725679268283926,0.08657806266667079,0.08507067164998328,0.08262794129067336,0.07830118599349367,0.0757782626809278,0.07576812821448997,0.07078201513577675,0.06764980124650344,0.06701442619677528,0.06555156754424801,0.06503863681394906,0.061504633847313084,0.0611201793869845,0.06070942455599471,0.05704631776254132,0.05625436324505634
2-2-4,u_on_y,t3,2000,700000,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,t3,2000,700000,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,t3,2000,700000,clean,,kl_plugin,crt_cond,99,0.000316948673289949,0.0024905411510603506,0.0024274345214009736,0.0024071123078721994,0.002173136830839799,0.0021340946444524805,0.002112762785963833,0.001990158767724022,0.001987926541580927,0.0017151603340292004,0.0015562863318279475,0.0013632541246930453,0.0012893103002206835,0.0011042793751497096,0.0010239763941590242,0.0009814556275435302,0.0009526175883457604,0.0009407266493736428,0.0009167055294449326,0.0008611420030008865,0.0008240225357280286
2-2-4,u_on_y,t3,2000,700000,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,t3,2000,700000,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,t3,2000,700001,clean,,kl_plugin,para_boot,99,8.21093346300272e-18,2.220446049250313e-16,1.700620695084736e-16,1.6993034056230128e-16,1.6987114949565293e-16,1.693501787757655e-16,1.687112330455202e-16,1.684719383399444e-16,1.1949388377491645e-16,1.185860771800089e-16,1.1755302613678128e-16,1.1649095379569664e-16,1.1578259482259586e-16,1.1551249867630496e-16,1.1548505293065616e-16,1.15153773733884e-16,1.148506577198438e-16,1.1456934087984842e-16,1.1388683411322952e-16,1.129967072942704e-16,1.1268386073066216e-16
2-2-4,u_on_y,t3,2000,700001,clean,,kl_split,para_boot,99,4.598937759061998e-05,0.026158116889640003,0.01739126126885834,0.015547170173649677,0.014930577716069739,0.012791199135178594,0.011209792292810349,0.009320862177078833,0.008979507199463478,0.00886048394920945,0.00865406713722345,0.008251477476136321,0.008239498734493648,0.00794003378491663,0.007938932632165791,0.007549423339923048,0.0074902707014743025,0.007296238629702427,0.007173810438282344,0.006591590741547262,0.006565853248702586
2-2-4,u_on_y,t3,2000,700001,clean,,kl_crossfit,para_boot,99,4.598729228658745e-05,0.02622989281871938,0.017492072823692417,0.01550129790172692,0.014940380077192277,0.012803489333793511,0.011196720262737186,0.00933211333496263,0.008968134109532367,0.008890966093542712,0.008634306759933435,0.008238757172184296,0.00823865158798795,0.007937348327014053,0.00793393662070947,0.007538141061660241,0.007508133458401289,0.007281827878901575,0.0071919177926180085,0.006594261519176765,0.0065678024925462045
2-2-4,u_on_y,t3,2000,700001,clean,,cf1_margin,para_boot,99,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
