n,d,noise,kind,b,seed,method,stat_obs
20000,3,gauss,conf_nonlin,0.4,500000,k1,0.009313386504799293
20000,3,gauss,conf_nonlin,0.4,500000,k2,0.07454502246160487
20000,3,gauss,conf_nonlin,0.4,500000,hsic,0.0034926547416344535
20000,3,gauss,conf_nonlin,0.4,500001,k1,0.006832430140119805
20000,3,gauss,conf_nonlin,0.4,500001,k2,0.08924117237453338
20000,3,gauss,conf_nonlin,0.4,500001,hsic,0.0037674406081043494
20000,3,gauss,conf_nonlin,0.4,500002,k1,0.010008714317391032
20000,3,gauss,conf_nonlin,0.4,500002,k2,0.046587970660207714
20000,3,gauss,conf_nonlin,0.4,500002,hsic,0.0045020538948296026
20000,3,gauss,conf_nonlin,0.4,500003,k1,0.006765303948064183
20000,3,gauss,conf_nonlin,0.4,500003,k2,0.12466234768537775
20000,3,gauss,conf_nonlin,0.4,500003,hsic,0.0024851307877681956
20000,3,gauss,conf_nonlin,0.4,500004,k1,0.01001149812553137
20000,3,gauss,conf_nonlin,0.4,500004,k2,0.1370914753269226
20000,3,gauss,conf_nonlin,0.4,500004,hsic,0.003350038253627947
20000,3,gauss,conf_nonlin,0.4,500005,k1,0.010683840069450112
20000,3,gauss,conf_nonlin,0.4,500005,k2,0.06344598513998381
20000,3,gauss,conf_nonlin,0.4,500005,hsic,0.0036604565294121876
20000,3,gauss,conf_nonlin,0.4,500006,k1,0.017017413987853613
20000,3,gauss,conf_nonlin,0.4,500006,k2,0.04414781904832364
20000,3,gauss,conf_nonlin,0.4,500006,hsic,0.0038550156879316355
20000,3,gauss,conf_nonlin,0.4,500007,k1,0.006841092275983507
20000,3,gauss,conf_nonlin,0.4,500007,k2,0.07584112760320703
20000,3,gauss,conf_nonlin,0.4,500007,hsic,0.0048830796522707255
20000,3,gauss,conf_nonlin,0.4,500008,k1,0.009482720580970327
20000,3,gauss,conf_nonlin,0.4,500008,k2,0.1267229091314456
20000,3,gauss,conf_nonlin,0.4,500008,hsic,0.002781345105324937
20000,3,gauss,conf_nonlin,0.4,500009,k1,0.005835767868399122
20000,3,gauss,conf_nonlin,0.4,500009,k2,0.10749060917877486
20000,3,gauss,conf_nonlin,0.4,500009,hsic,0.0030400860787874366
20000,3,gauss,conf_nonlin,0.4,500010,k1,0.013915017987485512
20000,3,gauss,conf_nonlin,0.4,500010,k2,0.07459515128843859
20000,3,gauss,conf_nonlin,0.4,500010,hsic,0.00495748288816749
20000,3,gauss,conf_nonlin,0.4,500011,k1,0.008084180860704615
20000,3,gauss,conf_nonlin,0.4,500011,k2,0.07169839690354456
20000,3,gauss,conf_nonlin,0.4,500011,hsic,0.0030250088576783464
20000,3,gauss,conf_nonlin,0.4,500012,k1,0.00993087141174942
20000,3,gauss,conf_nonlin,0.4,500012,k2,0.05879387676503411
20000,3,gauss,conf_nonlin,0.4,500012,hsic,0.0013111521966459791
20000,3,gauss,conf_nonlin,0.4,500013,k1,0.007004191102274793
20000,3,gauss,conf_nonlin,0.4,500013,k2,0.0791274566974709
20000,3,gauss,conf_nonlin,0.4,500013,hsic,0.0039918782471866894
20000,3,gauss,conf_nonlin,0.4,500014,k1,0.00988997708959971
20000,3,gauss,conf_nonlin,0.4,500014,k2,0.0777707488839615
20000,3,gauss,conf_nonlin,0.4,500014,hsic,0.003470285776404377
20000,3,gauss,conf_nonlin,0.4,500015,k1,0.008400673749339505
20000,3,gauss,conf_nonlin,0.4,500015,k2,0.0672132953569073
20000,3,gauss,conf_nonlin,0.4,500015,hsic,0.004754834056454015
20000,3,gauss,conf_nonlin,0.4,500016,k1,0.01488594067502469
20000,3,gauss,conf_nonlin,0.4,500016,k2,0.06182251227238503
20000,3,gauss,conf_nonlin,0.4,500016,hsic,0.0026574022989109855
20000,3,gauss,conf_nonlin,0.4,500017,k1,0.013395431650263911
20000,3,gauss,conf_nonlin,0.4,500017,k2,0.06624402461112332
20000,3,gauss,conf_nonlin,0.4,500017,hsic,0.004316695160773766
20000,3,gauss,conf_nonlin,0.4,500018,k1,0.01088456503841595
20000,3,gauss,conf_nonlin,0.4,500018,k2,0.056179146454384626
20000,3,gauss,conf_nonlin,0.4,500018,hsic,0.0014295958739254362
20000,3,gauss,conf_nonlin,0.4,500019,k1,0.009607652615837181
20000,3,gauss,conf_nonlin,0.4,500019,k2,0.06881829604744215
20000,3,gauss,conf_nonlin,0.4,500019,hsic,0.003578566649868617
20000,3,gauss,conf_nonlin,0.4,500020,k1,0.008546810433079699
20000,3,gauss,conf_nonlin,0.4,500020,k2,0.058993188489689825
20000,3,gauss,conf_nonlin,0.4,500020,hsic,0.004210050750864405
20000,3,gauss,conf_nonlin,0.4,500021,k1,0.00502060454985731
20000,3,gauss,conf_nonlin,0.4,500021,k2,0.1184079536407455
