n,d,noise,kind,b,seed,method,stat_obs
20000,5,gauss,conf_lin,0.2,500000,k1,0.0038181506455797765
20000,5,gauss,conf_lin,0.2,500000,k2,0.04043197105313513
20000,5,gauss,conf_lin,0.2,500000,hsic,0.0007835766552996193
20000,5,gauss,conf_lin,0.2,500001,k1,0.0019899695331940803
20000,5,gauss,conf_lin,0.2,500001,k2,0.061603350811791434
20000,5,gauss,conf_lin,0.2,500001,hsic,0.001577181095545899
20000,5,gauss,conf_lin,0.2,500002,k1,0.004217191589451108
20000,5,gauss,conf_lin,0.2,500002,k2,0.03322406210657652
20000,5,gauss,conf_lin,0.2,500002,hsic,0.00233696282229556
20000,5,gauss,conf_lin,0.2,500003,k1,0.004508186112584078
20000,5,gauss,conf_lin,0.2,500003,k2,0.03443488600932931
20000,5,gauss,conf_lin,0.2,500003,hsic,0.0017680370221834166
20000,5,gauss,conf_lin,0.2,500004,k1,0.004932617821951979
20000,5,gauss,conf_lin,0.2,500004,k2,0.06172064896187545
20000,5,gauss,conf_lin,0.2,500004,hsic,0.000951726242370234
20000,5,gauss,conf_lin,0.2,500005,k1,0.0066003625298871604
20000,5,gauss,conf_lin,0.2,500005,k2,0.04581609029724868
20000,5,gauss,conf_lin,0.2,500005,hsic,0.0011068834943372579
20000,5,gauss,conf_lin,0.2,500006,k1,0.01121176130057333
20000,5,gauss,conf_lin,0.2,500006,k2,0.02968599984324008
20000,5,gauss,conf_lin,0.2,500006,hsic,0.00046064791110775067
20000,5,gauss,conf_lin,0.2,500007,k1,0.002647350086491529
20000,5,gauss,conf_lin,0.2,500007,k2,0.02665818603285733
20000,5,gauss,conf_lin,0.2,500007,hsic,0.001461975257316354
20000,5,gauss,conf_lin,0.2,500008,k1,0.012792956485749407
20000,5,gauss,conf_lin,0.2,500008,k2,0.06102741568791827
20000,5,gauss,conf_lin,0.2,500008,hsic,0.0018552992974440344
20000,5,gauss,conf_lin,0.2,500009,k1,0.005358188383462248
20000,5,gauss,conf_lin,0.2,500009,k2,0.06898374352936822
20000,5,gauss,conf_lin,0.2,500009,hsic,3.0208213149064767e-05
20000,5,gauss,conf_lin,0.2,500010,k1,0.010612581868555515
20000,5,gauss,conf_lin,0.2,500010,k2,0.05806034814278597
20000,5,gauss,conf_lin,0.2,500010,hsic,0.0010635100576669295
20000,5,gauss,conf_lin,0.2,500011,k1,0.0051648534114578926
20000,5,gauss,conf_lin,0.2,500011,k2,0.027983589432530785
20000,5,gauss,conf_lin,0.2,500011,hsic,0.0007394293361776872
20000,5,gauss,conf_lin,0.2,500012,k1,0.013227467264772308
20000,5,gauss,conf_lin,0.2,500012,k2,0.03672477766368355
20000,5,gauss,conf_lin,0.2,500012,hsic,0.0027207427466308083
20000,5,gauss,conf_lin,0.2,500013,k1,0.0049389680612744735
20000,5,gauss,conf_lin,0.2,500013,k2,0.03570679564165926
20000,5,gauss,conf_lin,0.2,500013,hsic,0.0001933739852078252
20000,5,gauss,conf_lin,0.2,500014,k1,0.005479870810882748
20000,5,gauss,conf_lin,0.2,500014,k2,0.0445199263855209
20000,5,gauss,conf_lin,0.2,500014,hsic,0.001405187670614568
20000,5,gauss,conf_lin,0.2,500015,k1,0.004240155997380368
20000,5,gauss,conf_lin,0.2,500015,k2,0.02200510471668982
20000,5,gauss,conf_lin,0.2,500015,hsic,0.0008901075640970823
20000,5,gauss,conf_lin,0.2,500016,k1,0.009151258070152934
20000,5,gauss,conf_lin,0.2,500016,k2,0.02400871247571304
20000,5,gauss,conf_lin,0.2,500016,hsic,0.0008660108222012724
20000,5,gauss,conf_lin,0.2,500017,k1,0.006082089139849534
20000,5,gauss,conf_lin,0.2,500017,k2,0.02399833931885451
20000,5,gauss,conf_lin,0.2,500017,hsic,0.0023171269229664226
20000,5,gauss,conf_lin,0.2,500018,k1,0.0050801940198106355
20000,5,gauss,conf_lin,0.2,500018,k2,0.018670337299868067
20000,5,gauss,conf_lin,0.2,500018,hsic,0.002808874070391673
20000,5,gauss,conf_lin,0.2,500019,k1,0.0043959509656585904
20000,5,gauss,conf_lin,0.2,500019,k2,0.02233827207015885
20000,5,gauss,conf_lin,0.2,500019,hsic,0.00143156297647677
20000,5,gauss,conf_lin,0.2,500020,k1,0.0074682845866897996
20000,5,gauss,conf_lin,0.2,500020,k2,0.04649322342472246
20000,5,gauss,conf_lin,0.2,500020,hsic,0.0005172388325053061
20000,5,gauss,conf_lin,0.2,500021,k1,0.006015574292699499
20000,5,gauss,conf_lin,0.2,500021,k2,0.046974318319201014
20000,5,gauss,conf_lin,0.2,500021,hsic,0.0002350932829084265
20000,5,gauss,conf_lin,0.2,500022,k1,0.006370044247391959
20000,5,gauss,conf_lin,0.2,500022,k2,0.0274405076941836
20000,5,gauss,conf_lin,0.2,500022,hsic,0.0014617282573915933
20000,5,gauss,conf_lin,0.2,500023,k1,0.0060355470259456645
20000,5,gauss,conf_lin,0.2,500023,k2,0.017930113213820337
20000,5,gauss,conf_lin,0.2,500023,hsic,0.0002786021733036408
20000,5,gauss,conf_lin,0.2,500024,k1,0.008149152594093323
20000,5,gauss,conf_lin,0.2,500024,k2,0.03752600665738817
20000,5,gauss,conf_lin,0.2,500024,hsic,0.0022430702244896216
20000,5,gauss,conf_lin,0.2,500025,k1,0.004270781493360132
20000,5,gauss,conf_lin,0.2,500025,k2,0.049613590268347045
20000,5,gauss,conf_lin,0.2,500025,hsic,0.0003362943884935698
20000,5,gauss,conf_lin,0.2,500026,k1,0.005729494894912479
