n,d,noise,kind,b,seed,method,stat_obs
20000,5,t3,conf_lin,0.6,500000,k1,0.007584683275808191
20000,5,t3,conf_lin,0.6,500000,k2,0.04740358285581873
20000,5,t3,conf_lin,0.6,500000,hsic,0.005226796298110888
20000,5,t3,conf_lin,0.6,500001,k1,0.005488747475947076
20000,5,t3,conf_lin,0.6,500001,k2,0.046246957326127505
20000,5,t3,conf_lin,0.6,500001,hsic,0.00293727584210657
20000,5,t3,conf_lin,0.6,500002,k1,0.006746444121607742
20000,5,t3,conf_lin,0.6,500002,k2,0.037787027450830665
20000,5,t3,conf_lin,0.6,500002,hsic,0.006138548068940827
20000,5,t3,conf_lin,0.6,500003,k1,0.007378206178915603
20000,5,t3,conf_lin,0.6,500003,k2,0.07299738662266578
20000,5,t3,conf_lin,0.6,500003,hsic,0.004071949569702005
20000,5,t3,conf_lin,0.6,500004,k1,0.009772238327297234
20000,5,t3,conf_lin,0.6,500004,k2,0.0343191665837806
20000,5,t3,conf_lin,0.6,500004,hsic,0.0014149356337437634
20000,5,t3,conf_lin,0.6,500005,k1,0.007238356671693702
20000,5,t3,conf_lin,0.6,500005,k2,0.04331586706302399
20000,5,t3,conf_lin,0.6,500005,hsic,0.003419826090454594
20000,5,t3,conf_lin,0.6,500006,k1,0.005965397453965626
20000,5,t3,conf_lin,0.6,500006,k2,0.03484385733278771
20000,5,t3,conf_lin,0.6,500006,hsic,0.00188421402180374
20000,5,t3,conf_lin,0.6,500007,k1,0.006478100333052961
20000,5,t3,conf_lin,0.6,500007,k2,0.05529976207404825
20000,5,t3,conf_lin,0.6,500007,hsic,0.003520147828730579
20000,5,t3,conf_lin,0.6,500008,k1,0.00904258423585802
20000,5,t3,conf_lin,0.6,500008,k2,0.06475827157992342
20000,5,t3,conf_lin,0.6,500008,hsic,0.004395308939143888
20000,5,t3,conf_lin,0.6,500009,k1,0.00776406861532386
20000,5,t3,conf_lin,0.6,500009,k2,0.07337435563847504
20000,5,t3,conf_lin,0.6,500009,hsic,0.001559884243447269
20000,5,t3,conf_lin,0.6,500010,k1,0.0065778820400688165
20000,5,t3,conf_lin,0.6,500010,k2,0.03362047627212012
20000,5,t3,conf_lin,0.6,500010,hsic,0.002939609207580907
20000,5,t3,conf_lin,0.6,500011,k1,0.007463307470177982
20000,5,t3,conf_lin,0.6,500011,k2,0.07863338962058387
20000,5,t3,conf_lin,0.6,500011,hsic,0.0011768929209517098
20000,5,t3,conf_lin,0.6,500012,k1,0.0065632082503434
20000,5,t3,conf_lin,0.6,500012,k2,0.16047300518909152
20000,5,t3,conf_lin,0.6,500012,hsic,0.002191296814128661
20000,5,t3,conf_lin,0.6,500013,k1,0.0051296854213975784
20000,5,t3,conf_lin,0.6,500013,k2,0.03535199766962912
20000,5,t3,conf_lin,0.6,500013,hsic,0.004105589891228169
20000,5,t3,conf_lin,0.6,500014,k1,0.00552211963616156
20000,5,t3,conf_lin,0.6,500014,k2,0.06540417579733186
20000,5,t3,conf_lin,0.6,500014,hsic,0.001224539328285437
20000,5,t3,conf_lin,0.6,500015,k1,0.008351434868384189
20000,5,t3,conf_lin,0.6,500015,k2,0.04404986753721246
20000,5,t3,conf_lin,0.6,500015,hsic,0.0035540642428459265
20000,5,t3,conf_lin,0.6,500016,k1,0.011308679855003279
20000,5,t3,conf_lin,0.6,500016,k2,0.07481920070531131
20000,5,t3,conf_lin,0.6,500016,hsic,0.0035050532040689702
20000,5,t3,conf_lin,0.6,500017,k1,0.013954319317105224
20000,5,t3,conf_lin,0.6,500017,k2,0.0550876705977776
20000,5,t3,conf_lin,0.6,500017,hsic,0.000208190490086608
20000,5,t3,conf_lin,0.6,500018,k1,0.0054193906601293085
20000,5,t3,conf_lin,0.6,500018,k2,0.057198346480510594
20000,5,t3,conf_lin,0.6,500018,hsic,0.00037980106353392907
20000,5,t3,conf_lin,0.6,500019,k1,0.009665553670889837
20000,5,t3,conf_lin,0.6,500019,k2,0.06839910819199817
20000,5,t3,conf_lin,0.6,500019,hsic,0.0039774227739847985
20000,5,t3,conf_lin,0.6,500020,k1,0.008301105450970181
20000,5,t3,conf_lin,0.6,500020,k2,0.09064331003387348
20000,5,t3,conf_lin,0.6,500020,hsic,0.0011438041916422726
20000,5,t3,conf_lin,0.6,500021,k1,0.00750896916756294
20000,5,t3,conf_lin,0.6,500021,k2,0.0910881012181125
20000,5,t3,conf_lin,0.6,500021,hsic,0.0009490561218719897
20000,5,t3,conf_lin,0.6,500022,k1,0.008775962451287755
20000,5,t3,conf_lin,0.6,500022,k2,0.10810269124678686
20000,5,t3,conf_lin,0.6,500022,hsic,0.002618953456927421
20000,5,t3,conf_lin,0.6,500023,k1,0.009380024422690925
20000,5,t3,conf_lin,0.6,500023,k2,0.042235177924622426
20000,5,t3,conf_lin,0.6,500023,hsic,0.0023497741173875092
20000,5,t3,conf_lin,0.6,500024,k1,0.005294329790765384
20000,5,t3,conf_lin,0.6,500024,k2,0.0779141030830232
20000,5,t3,conf_lin,0.6,500024,hsic,0.0020902702794611157
20000,5,t3,conf_lin,0.6,500025,k1,0.009323774982774258
20000,5,t3,conf_lin,0.6,500025,k2,0.0972755811936106
20000,5,t3,conf_lin,0.6,500025,hsic,0.0009747836833593814
