n,d,noise,kind,b,seed,method,stat_obs
8000,3,t3,conf_nonlin,0.2,500000,k1,0.02043911366245943
8000,3,t3,conf_nonlin,0.2,500000,k2,0.13590623680904362
8000,3,t3,conf_nonlin,0.2,500000,hsic,0.0022871895008232577
8000,3,t3,conf_nonlin,0.2,500001,k1,0.038265689752901344
8000,3,t3,conf_nonlin,0.2,500001,k2,0.1721799343671921
8000,3,t3,conf_nonlin,0.2,500001,hsic,0.005316398496691659
8000,3,t3,conf_nonlin,0.2,500002,k1,0.030850055019428946
8000,3,t3,conf_nonlin,0.2,500002,k2,0.20765764815969964
8000,3,t3,conf_nonlin,0.2,500002,hsic,0.00449722060626856
8000,3,t3,conf_nonlin,0.2,500003,k1,0.02736097123126202
8000,3,t3,conf_nonlin,0.2,500003,k2,0.14411070192885886
8000,3,t3,conf_nonlin,0.2,500003,hsic,0.0002524289806688815
8000,3,t3,conf_nonlin,0.2,500004,k1,0.02245307631996596
8000,3,t3,conf_nonlin,0.2,500004,k2,0.17670630909895851
8000,3,t3,conf_nonlin,0.2,500004,hsic,0.0032158356745952857
8000,3,t3,conf_nonlin,0.2,500005,k1,0.02920146135139401
8000,3,t3,conf_nonlin,0.2,500005,k2,0.1637366670597603
8000,3,t3,conf_nonlin,0.2,500005,hsic,0.0014772846139745053
8000,3,t3,conf_nonlin,0.2,500006,k1,0.02595361317844236
8000,3,t3,conf_nonlin,0.2,500006,k2,0.11828685480516313
8000,3,t3,conf_nonlin,0.2,500006,hsic,0.0021285873518269434
8000,3,t3,conf_nonlin,0.2,500007,k1,0.03330692933850332
8000,3,t3,conf_nonlin,0.2,500007,k2,0.20953980455556143
8000,3,t3,conf_nonlin,0.2,500007,hsic,0.0017059578057758511
8000,3,t3,conf_nonlin,0.2,500008,k1,0.03493049716210972
8000,3,t3,conf_nonlin,0.2,500008,k2,0.2696057449676226
8000,3,t3,conf_nonlin,0.2,500008,hsic,0.0037976173951195136
8000,3,t3,conf_nonlin,0.2,500009,k1,0.03794189902418743
8000,3,t3,conf_nonlin,0.2,500009,k2,0.22979912929479016
8000,3,t3,conf_nonlin,0.2,500009,hsic,6.232199353607584e-05
8000,3,t3,conf_nonlin,0.2,500010,k1,0.02815865086129965
8000,3,t3,conf_nonlin,0.2,500010,k2,0.1281196751269031
8000,3,t3,conf_nonlin,0.2,500010,hsic,0.003928697647762005
8000,3,t3,conf_nonlin,0.2,500011,k1,0.03087036412354205
8000,3,t3,conf_nonlin,0.2,500011,k2,0.28156528409370196
8000,3,t3,conf_nonlin,0.2,500011,hsic,0.0020738724581903668
8000,3,t3,conf_nonlin,0.2,500012,k1,0.02567587343071187
8000,3,t3,conf_nonlin,0.2,500012,k2,0.12590303618337967
8000,3,t3,conf_nonlin,0.2,500012,hsic,0.003671978506912769
8000,3,t3,conf_nonlin,0.2,500013,k1,0.02984962269787861
8000,3,t3,conf_nonlin,0.2,500013,k2,0.15007616849854158
8000,3,t3,conf_nonlin,0.2,500013,hsic,0.0019604688832768817
8000,3,t3,conf_nonlin,0.2,500014,k1,0.019365233017854755
8000,3,t3,conf_nonlin,0.2,500014,k2,0.3003193680687138
8000,3,t3,conf_nonlin,0.2,500014,hsic,0.005431373107814711
8000,3,t3,conf_nonlin,0.2,500015,k1,0.029806221481448625
8000,3,t3,conf_nonlin,0.2,500015,k2,0.15276224886220613
8000,3,t3,conf_nonlin,0.2,500015,hsic,0.0021366110623614533
8000,3,t3,conf_nonlin,0.2,500016,k1,0.026233442875635227
8000,3,t3,conf_nonlin,0.2,500016,k2,0.11909367148269756
8000,3,t3,conf_nonlin,0.2,500016,hsic,0.0019467643274698099
8000,3,t3,conf_nonlin,0.2,500017,k1,0.023840169753795326
8000,3,t3,conf_nonlin,0.2,500017,k2,0.17207785206345905
8000,3,t3,conf_nonlin,0.2,500017,hsic,0.00010133555732660638
8000,3,t3,conf_nonlin,0.2,500018,k1,0.0581950806565974
8000,3,t3,conf_nonlin,0.2,500018,k2,0.20333313430120764
8000,3,t3,conf_nonlin,0.2,500018,hsic,0.001388455683929169
8000,3,t3,conf_nonlin,0.2,500019,k1,0.02078194214641138
8000,3,t3,conf_nonlin,0.2,500019,k2,0.1909700501786861
8000,3,t3,conf_nonlin,0.2,500019,hsic,0.002390626560185318
8000,3,t3,conf_nonlin,0.2,500020,k1,0.038023795249191084
8000,3,t3,conf_nonlin,0.2,500020,k2,0.20980376655225286
8000,3,t3,conf_nonlin,0.2,500020,hsic,0.004909896560776279
8000,3,t3,conf_nonlin,0.2,500021,k1,0.01727750496448821
8000,3,t3,conf_nonlin,0.2,500021,k2,0.1765167035049896
8000,3,t3,conf_nonlin,0.2,500021,hsic,0.0007385835051134679
8000,3,t3,conf_nonlin,0.2,500022,k1,0.03259444909820253
8000,3,t3,conf_nonlin,0.2,500022,k2,0.1565539229700684
8000,3,t3,conf_nonlin,0.2,500022,hsic,0.0019408251618309286
8000,3,t3,conf_nonlin,0.2,500023,k1,0.022765839291160272
8000,3,t3,conf_nonlin,0.2,500023,k2,0.13085702106857253
8000,3,t3,conf_nonlin,0.2,500023,hsic,0.0021156689377942973
8000,3,t3,conf_nonlin,0.2,500024,k1,0.029264329143561807
8000,3,t3,conf_nonlin,0.2,500024,k2,0.21738928108285754
8000,3,t3,conf_nonlin,0.2,500024,hsic,0.0031978784156704685
8000,3,t3,conf_nonlin,0.2,500025,k1,0.020644084631506576
8000,3,t3,conf_nonlin,0.2,500025,k2,0.10393966650693115
8000,3,t3,conf_nonlin,0.2,500025,hsic,0.004562490740648363
8000,3,t3,conf_nonlin,0.2,500026,k1,0.01723802803750807
8000,3,t3,conf_nonlin,0.2,500026,k2,0.12101666779243257
8000,3,t3,conf_nonlin,0.2,500026,hsic,0.0026867725148448304
8000,3,t3,conf_nonlin,0.2,500027,k1,0.01757352103275822
8000,3,t3,conf_nonlin,0.2,500027,k2,0.11948553577158434
8000,3,t3,conf_nonlin,0.2,500027,hsic,0.0014627386691479635
8000,3,t3,conf_nonlin,0.2,500028,k1,0.024867281197421542
8000,3,t3,conf_nonlin,0.2,500028,k2,0.10257180361332631
8000,3,t3,conf_nonlin,0.2,500028,hsic,0.0026558913543122844
8000,3,t3,conf_nonlin,0.2,500029,k1,0.02585266422762922
8000,3,t3,conf_nonlin,0.2,500029,k2,0.13551371667394072
8000,3,t3,conf_nonlin,0.2,500029,hsic,0.0003036116782223795
8000,3,t3,conf_nonlin,0.2,500030,k1,0.04106975252995271
8000,3,t3,conf_nonlin,0.2,500030,k2,0.18357595948847852
8000,3,t3,conf_nonlin,0.2,500030,hsic,0.0001025917821290855
8000,3,t3,conf_nonlin,0.2,500031,k1,0.03484631079243383
8000,3,t3,conf_nonlin,0.2,500031,k2,0.23979511261626116
8000,3,t3,conf_nonlin,0.2,500031,hsic,0.0027942570598495898
8000,3,t3,conf_nonlin,0.2,500032,k1,0.029304366027540385
8000,3,t3,conf_nonlin,0.2,500032,k2,0.16560805967718034
8000,3,t3,conf_nonlin,0.2,500032,hsic,0.0003403961067726378
8000,3,t3,conf_nonlin,0.2,500033,k1,0.02945026767179404
8000,3,t3,conf_nonlin,0.2,500033,k2,0.17878999048647418
8000,3,t3,conf_nonlin,0.2,500033,hsic,0.0008233387452189334
8000,3,t3,conf_nonlin,0.2,500034,k1,0.026263678386022504
8000,3,t3,conf_nonlin,0.2,500034,k2,0.09688196014105431
8000,3,t3,conf_nonlin,0.2,500034,hsic,0.002783333404191991
8000,3,t3,conf_nonlin,0.2,500035,k1,0.019321764804027253
8000,3,t3,conf_nonlin,0.2,500035,k2,0.16228737143954866
8000,3,t3,conf_nonlin,0.2,500035,hsic,0.0010381012262325826
8000,3,t3,conf_nonlin,0.2,500036,k1,0.020264745130946893
8000,3,t3,conf_nonlin,0.2,500036,k2,0.1783431778012491
8000,3,t3,conf_nonlin,0.2,500036,hsic,0.0022156220857766635
8000,3,t3,conf_nonlin,0.2,500037,k1,0.027652436990040496
8000,3,t3,conf_nonlin,0.2,500037,k2,0.191066716686254
8000,3,t3,conf_nonlin,0.2,500037,hsic,0.003747961353110212
8000,3,t3,conf_nonlin,0.2,500038,k1,0.025524467868296763
8000,3,t3,conf_nonlin,0.2,500038,k2,0.08319650106508521
8000,3,t3,conf_nonlin,0.2,500038,hsic,0.0032795685416853403
8000,3,t3,conf_nonlin,0.2,500039,k1,0.026735628925550703
8000,3,t3,conf_nonlin,0.2,500039,k2,0.13862709255242675
8000,3,t3,conf_nonlin,0.2,500039,hsic,0.003649209509176531
8000,3,t3,conf_nonlin,0.2,500040,k1,0.024396526552197262
8000,3,t3,conf_nonlin,0.2,500040,k2,0.12951541385976117
8000,3,t3,conf_nonlin,0.2,500040,hsic,0.003233336137318152
8000,3,t3,conf_nonlin,0.2,500041,k1,0.027549487255154048
8000,3,t3,conf_nonlin,0.2,500041,k2,0.20372620726834575
8000,3,t3,conf_nonlin,0.2,500041,hsic,0.0015357111581957015
8000,3,t3,conf_nonlin,0.2,500042,k1,0.022677758012868088
8000,3,t3,conf_nonlin,0.2,500042,k2,0.11895302174698703
8000,3,t3,conf_nonlin,0.2,500042,hsic,0.00040081796440728323
8000,3,t3,conf_nonlin,0.2,500043,k1,0.023085687782335218
8000,3,t3,conf_nonlin,0.2,500043,k2,0.15821049569194442
8000,3,t3,conf_nonlin,0.2,500043,hsic,0.0028001137089852623
8000,3,t3,conf_nonlin,0.2,500044,k1,0.038101790730214136
8000,3,t3,conf_nonlin,0.2,500044,k2,0.20310720376651892
8000,3,t3,conf_nonlin,0.2,500044,hsic,0.0008161436671625767
8000,3,t3,conf_nonlin,0.2,500045,k1,0.019015906276800942
8000,3,t3,conf_nonlin,0.2,500045,k2,0.14238237480211435
8000,3,t3,conf_nonlin,0.2,500045,hsic,0.0037322497973838386
8000,3,t3,conf_nonlin,0.2,500046,k1,0.02661703568892304
8000,3,t3,conf_nonlin,0.2,500046,k2,0.19461105083750666
8000,3,t3,conf_nonlin,0.2,500046,hsic,0.0037801383484263426
8000,3,t3,conf_nonlin,0.2,500047,k1,0.02468631530718901
8000,3,t3,conf_nonlin,0.2,500047,k2,0.13936961572060466
8000,3,t3,conf_nonlin,0.2,500047,hsic,0.0031114793863676418
8000,3,t3,conf_nonlin,0.2,500048,k1,0.039191625449266465
8000,3,t3,conf_nonlin,0.2,500048,k2,0.22336802719967144
8000,3,t3,conf_nonlin,0.2,500048,hsic,0.003744527133467315
8000,3,t3,conf_nonlin,0.2,500049,k1,0.02813158396706983
8000,3,t3,conf_nonlin,0.2,500049,k2,0.17563980885565036
8000,3,t3,conf_nonlin,0.2,500049,hsic,0.003721702607426043
8000,3,t3,conf_nonlin,0.2,500050,k1,0.014424772563494281
8000,3,t3,conf_nonlin,0.2,500050,k2,0.10249075695913555
8000,3,t3,conf_nonlin,0.2,500050,hsic,0.0020898811022521785
8000,3,t3,conf_nonlin,0.2,500051,k1,0.025608357388892777
8000,3,t3,conf_nonlin,0.2,500051,k2,0.188908825418816
8000,3,t3,conf_nonlin,0.2,500051,hsic,0.003535603029082106
8000,3,t3,conf_nonlin,0.2,500052,k1,0.03629280224880782
8000,3,t3,conf_nonlin,0.2,500052,k2,0.17535221520983377
